rec_id,ssn,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp
R81694139,i191834916,shawn,graeme,mcneill,f,21,5/2/1999, 123  willandra  road  villa  14 ,cromer,2099.0,nsw,,mcneill.shawn@gmail.com,certificate-iv,ict-technician,-9999.0, 5583  2118  0764  8570 ,2,2020-02-07t24:58+00:00
R40885561,b185061485,eugenia,,harris,f,28,23/1/1992, 53  binalong  road  mayflower  village , pendle  hill ,2145.0,nsw, 02  3809  5233 ,harris25@aol.com,certificate-iii,automotive-worker,71813.0, 0529  7174  7038  4837 ,7,2018-02-21t13:17+00:00
R71084446,b108644471,ronald,frazier,melvin,f,49,17/9/1971, 1  windmill  road  rum  jungle ,batchelor,845.0,nt, 08  0940  7581 ,melvin.ronald@mail.com,certificate-i,clerical-worker,-9999.0, 7244  8962  0305  5522 ,24,2014-05-23t10:37+00:00
R03358119,i131083951,george,rudolph,mcallister,m,65,29/11/1955, 1  hill  end  road  cryna  street ,beaudesert,4285.0,qld, 07  6501  0927 ,george.mcallister@yahoo.com,doctoral-degree,art-media-professional,, 7597  6665  2884  0208 ,46,2020-05-08t10:33+00:00
R58895403,a185358490,carrie,michelle,futrell,f,27,18/12/1993, 15  research  road  flt  2 ,lara,3212.0,vic, 03  5381  8544 ,carrie.futrell@mail.com.au,senior-secondary-school,construction-labourer,13564.0, 9242  2185  8062  9645 ,8,2020-03-02t10:39+00:00
R99633874,d139378496,andrew,ladd,neptune,m,65,7/1/1955, 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld, 07  3492  1257 ,neptune66@gmail.com,certificate-iii,automotive-worker,55039.0, 1431  1328  7024  8839 ,42,2016-01-09t09:42+00:00
R09101165,e190156101,micah,vinicio,draper,m,27,22/4/1990, Yanac  Road ,Broughton,3418.0,VIC, 03  2522  3681 ,micah66@hotmail.com,graduate-diploma,legislator,127091.0, 6926  6687  7717  5062 ,11,2017-05-18T12:05+00:00
R90392538,g108395392,hamilton,wayne,lun,m,49,26/4/1971, 30  bollard  circuit  the  moorings , clear  island  waters ,4226.0,qld, 07  9558  5820 ,lun.hamilton@mail.com.au,graduate-diploma,general-manager,149629.0, 2509  0661  2583  9228 ,28,2018-12-11t17:55+00:00
R89394537,d149393857,timothy,eugene,vogler,m,62,12/9/1954, 3  Oakwood  Place , Hornsby  Heights ,2077.0,NSW,,idbpabakia@mail.com,bachelor-degree,education-professional,, 5808  8550  1475  5339 ,47,2016-09-03T05:08+00:00
R95826006,e102508696,melanie,colbert,barto,f,56,11/10/1961, 1189  wynnum  road  monte  carlo  cvan  p ,murarrie,4172.0,qld, 07  1367  5737 ,melanie87@yahoo.com,senior-secondary-school,construction-labourer,14096.0, 6345  1857  8729  2139 ,40,2017-01-19T21:46+00:00
R32725321,e113527223,charman,bible,lindley,f,33,13/9/1987, 1  wodonga-yack  road  sec  h ,yackandandah,3749.0,vic, 03  9457  0990 ,lokjspojmf@mail.com.au,diploma,engineering-worker,55968.0, 8390  8926  2883  3851 ,14,2020-02-01t08:35+00:00
R06081041,e110086140,james,l,mcdaniel,m,34,30/11/1984, 1  Teakle  Court , Mount  Barker ,5251.0,SA, 08  9670  9409 ,mcdaniel.james@aol.com,diploma,other-technician,106661.0, 9038  8190  3409  5460 ,14,2015-05-15T05:13+00:00
R25749486,d178449526,phear,c,patterson,m,40,5/11/1977, 26  Davies  Street ,Bairnsdale,3875.0,VIC, 03  7223  4024 ,phear36@mail.com,certificate-iv,other-worker,92850.0, 3022  5531  4708  0056 ,23,2016-10-10T09:57+00:00
R29958531,d135912598,cynthia,mcmasters,johnson,f,16,3/9/2004, 8  black  lead  road  brinjarry ,gulgong,2852.0,nsw, 02  5026  4548 ,cynthia71@yahoo.com,senior-secondary-school,casual-worker,, 6170  6081  6574  5941 ,3,2020-06-20t08:58+00:00
R90247947,b124079794,holly,alison,pittman,f,9,13/6/2011, 51  Johnstone  Street ,Castlemaine,3450.0,VIC, 03  6917  7345 ,pittman40@aol.com,primary-school,,0.0,,0,2020-02-05T07:31+00:00
R63624379,e163367249,tonya,f,brown,f,34,12/6/1986, 6  leichhardt  terrace  leichtodd  plaza , alice  springs ,870.0,nt,,jikltkamqm@gmail.com,certificate-iv,automotive-worker,54962.0, 8939  8145  6055  1550 ,15,2020-03-26t20:40+00:00
R65717710,e161017775,kay,,oxendine,f,65,31/8/1952, 25  Livingstone  Avenue ,Pymble,2073.0,NSW, 02  0471  3193 ,kjmmctmhdk@hotmail.com,certificate-iii,ict-technician,80750.0, 6470  3923  4336  6029 ,45,2013-03-23T10:38+00:00
R94766590,e179906465,donald,lawrence,simmons,f,62,26/1/1957, 27  Albert  Street ,Taree,2430.0,NSW, 02  9092  3033 ,simmons17@mail.com,bachelor-degree,legal-professional,138685.0, 6743  0845  3512  0088 ,37,2012-07-15T21:54+00:00
R11722953,g152392117,drew,phillip,earley,f,26,4/5/1994, 19  lake  street  courtlands , north  parramatta ,2151.0,nsw, 02  6095  7771 ,earley2@gmail.com,graduate-diploma,legal-professional,114589.0, 2038  0375  2413  6098 ,7,2020-05-03t23:16+00:00
R50873549,d143805759,albert,hugo,lofton,f,42,29/9/1978, 39  colooli  road  cutler  vlge ,narrabeen,2101.0,nsw, 02  4232  4176 ,lofton7@gmail.com,certificate-iii,engineering-worker,63424.0, 9665  9441  1828  0795 ,23,2020-06-03t17:57+00:00
R42316617,e116324167,tami,sherelle,white,f,21,23/8/1999, 1  bronzewing  avenue  howard  river  park , howard  springs ,835.0,nt, 08  8733  1063 ,gnodctboie@mail.com.au,bachelor-degree,education-professional,81788.0, 8117  0372  5704  4838 ,2,2020-04-01t20:20+00:00
R28881411,e128811841,adam,frank,king,f,42,8/8/1978, 1  ridge  road  spring  banks ,garvoc,3265.0,vic, 03  5467  8259 ,adam.king@aol.com,diploma,other-worker,94705.0, 2475  4057  6012  7169 ,19,2016-10-17t18:06+00:00
R49616157,f146579116,rodney,ray,waterson,f,48,27/9/1968, 54  Learmonth  Street ,Sunbury,3429.0,VIC, 03  5902  4449 ,,certificate-i,other-clerical-worker,37132.0, 2675  4182  8798  5576 ,33,2016-08-16T11:23+00:00
R63624379,e163367249,tonya,f,brown,f,34,12/6/1986, 6  leichhardt  terrace  leichtodd  plaza , alice  springs ,870.0,nt, 08  9998  4856 ,jikltkamqm@gmail.com,certificate-iv,automotive-worker,54962.0, 8939  8145  6055  1550 ,15,2020-03-26t20:40+00:00
R73884749,i139487847,jerry,richard,gardner,m,13,17/10/2007, 1  hobart  place  amp  building , canberra  city ,2601.0,act, 02  1131  7855 ,,secondary-school,,,,0,2020-07-19t07:56+00:00
R79790000,i107000799,jack,dean,hankins,m,52,4/1/1968, 1  evans  road  heritage  homes ,toukley,2263.0,nsw, 02  6287  3841 ,hankins.jack@gmail.com,bachelor-degree,other-technician,137251.0, 2270  8548  9302  8199 ,28,2015-09-13t13:41+00:00
R01656531,i151361056,william,john,beill,m,21,21/2/1999, 18  saxby  drive  saxby  park ,strathfieldsaye,3551.0,vic,,beill16@aol.com,advance-diploma,legal-professional,, 2037  0125  1186  1355 ,2,2020-03-18t19:05+00:00
R12183054,d148325110,cherie,ann,tyson,f,79,31/8/1941, 7  tumema  street  safia  community ,bamaga,4876.0,qld,,cherie75@mail.com,certificate-i,re-tired,0.0, 5441  6864  8886  4395 ,45,2019-08-15t08:12+00:00
R88204848,d102448888,latara,marie,bode,f,68,3/11/1952, 1  toogoom  road  tamaramia ,toogoom,4655.0,qld, 07  0218  5659 ,bode.latara@aol.com,certificate-i,other-service-worker,-9999.0, 9993  1000  3992  2462 ,47,2018-06-27t18:34+00:00
R17214414,b144141271,mark,phillip,bowers,m,26,24/3/1994, 347  eastbourne  road  the  village  glen , rosebud  west ,3940.0,vic, 03  1786  8752 ,qcppfhqpif@yahoo.com,senior-secondary-school,construction-labourer,15297.0, 9589  0564  8472  2438 ,7,2020-03-15t05:32+00:00
R09868505,f189558600,gary,,reed,m,46,1/6/1971, 23  Devitt  Street ,Narrabeen,2101.0,NSW, 02  9557  4417 ,gary.reed@yahoo.com,certificate-ii,construction-worker,68433.0, 6373  4140  4110  2166 ,30,2017-10-08T06:58+00:00
R36680288,i188638026,lynda,soler,goddard,f,84,7/4/1934, 84  Gorman  Street , Darling  Heights ,4350.0,QLD, 07  0486  8138 ,,certificate-iv,re-tired,0.0, 1190  4097  9564  5443 ,45,2012-02-01T14:10+00:00
R45882908,a182809584,eddie,,sandin,m,71,25/8/1949, 59  Scotia  Avenue ,Oberon,2787.0,NSW,,sandin.eddie@yahoo.com,certificate-iv,engineering-worker,99849.0, 3103  8543  3490  3302 ,50,2018-02-19T02:51+00:00
R46633745,g143675463,bradley,eugene,price,f,62,4/4/1958, 240  mitchell  road  lucivale , wagga  wagga ,2650.0,nsw, 02  8373  7575 ,bradley.price@gmail.com,masters-degree,legal-professional,, 1092  5097  2107  2002 ,43,2020-07-09t07:19+00:00
R43547899,c199874543,veronica,sartin,coriano,f,59,11/1/1957, 3  Vega  Court ,Woodroffe,830.0,NT, 08  0310  6974 ,parker.veronica@mail.com.au,diploma,ict-technician,149326.0, 2513  0639  2672  4929 ,44,2016-12-20T05:40+00:00
R99597531,c153159997,edward,rummerleon,naber,f,56,30/12/1961, 18  Roydon  Way ,Girrawheen,6064.0,WA, 08  1959  2591 ,edward.naber@aol.com,certificate-iv,other-worker,59046.0, 1970  6586  5697  2839 ,23,2000-01-22T11:14+00:00
R74400414,h140444170,ronald,gene,brodie,f,58,17/1/1962, 8  chapman  street  araluen , carrum  downs ,3201.0,vic, 03  0446  5516 ,ronald.brodie@gmail.com,senior-secondary-school,factory-worker,-9999.0, 9678  3964  2945  6768 ,32,2013-03-26t07:35+00:00
R12512701,i115121207,william,,hoffman,m,27,30/8/1989, 8  Sanderling  Street ,Wulagi,812.0,NT, 08  5156  7578 ,william.hoffman@mail.com.au,graduate-diploma,ict-professional,, 5622  6546  6931  4878 ,12,2016-11-08T21:31+00:00
R75760662,f106572667,stephania,debardeleben,maloof,f,14,25/7/2006, 1  castledoyle  road  bentom ,armidale,2350.0,nsw, 02  8268  0675 ,stephania.maloof@hotmail.com,secondary-school,,,,0,2020-05-06t14:51+00:00
R62713697,a191237667,stephanie,lee,maness,f,73,1/12/1947, 70  Summerhill  Road ,Footscray,3011.0,VIC, 03  3635  3901 ,maness.stephanie@gmail.com,certificate-iii,construction-worker,99270.0, 9454  7975  9027  5784 ,54,2020-06-04T14:36+00:00
R74441106,b110644147,stephen,gregory,patterson,f,60,6/6/1960, 6  woniora  road  malonga  park ,burnie,7320.0,tas, 03  4377  8142 ,,secondary-school,other-labourer,13186.0, 5352  9238  4007  8324 ,39,2018-08-14t02:45+00:00
R89242305,c129542380,christiane,,dawkins,f,47,6/8/1971, 34  Forest  Ridge  Drive  Ridgewood ,Narangba,4504.0,QLD, 07  3220  3394 ,christiane.dawkins@aol.com,diploma,construction-worker,74832.0, 0707  6982  7239  0866 ,30,2018-08-21T22:16+00:00
R40031063,i103401630,timothy,henry,alston,m,16,4/7/2004, 9  cavenagh  street  national  mutual  centre ,darwin,800.0,nt, 08  6377  3438 ,timothy53@mail.com,senior-secondary-school,casual-worker,-9999.0, 3564  7101  0938  9721 ,3,2020-05-11t09:32+00:00
R12244975,c112249547,charles,russell,emig,m,52,1/8/1967, 8  Myola  Court ,Durack,830.0,NT,,charles.emig@gmail.com,certificate-iv,ict-technician,-9999.0, 1407  1171  3829  2967 ,33,2018-02-17T01:48+00:00
R65687868,h165688876,harrison,peter,haywood,m,76,20/8/1944, 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld, 07  4340  0234 ,harrison.haywood@hotmail.com,certificate-i,re-tired,, 2307  4908  8321  3863 ,45,2020-07-25t20:25+00:00
R13927887,g131828779,vaughn,charles,chisholm,f,44,21/9/1976, 8  watson  street  watson ,ellalong,2325.0,nsw, 02  7485  6629 ,vaughn.chisholm@mail.com,bachelor-degree,art-media-professional,96626.0, 7808  2011  6838  2195 ,23,2018-05-04t09:03+00:00
R65261806,c168166025,david,reid,smith,m,34,7/2/1986, 58  johnston  street  sugarland  garden ,bundaberg,4670.0,qld, 07  5827  1105 ,david15@mail.com,graduate-diploma,manager,157566.0, 0168  5443  3071  2887 ,15,2020-03-17t16:22+00:00
R66780576,h176658706,maria,hope,aldridge,f,48,10/6/1972, 102  woondooma  street  bundaberg  specialist  centre ,bundaberg,4670.0,qld, 07  8021  2487 ,maria50@gmail.com,certificate-i,personal-services-worker,-9999.0, 9527  6839  8082  9402 ,26,2017-03-23t04:29+00:00
R05864271,c152487061,erin,eugene,demetres,f,34,25/2/1986, 250  baltimore  parade  raafa  estate ,merriwa,6030.0,wa, 08  5879  1413 ,erin80@mail.com,certificate-ii,other-service-worker,, 9288  5848  0033  8294 ,14,2019-01-02t06:36+00:00
R64166346,h166146346,bryant,randolphlouis,ghorley,m,61,19/10/1959, 3103  ross  street  royal  pines  resort ,ashmore,4214.0,qld, 07  5451  4584 ,kkmigffemf@mail.com,certificate-ii,carer,56027.0, 2498  1303  5160  7046 ,42,2020-06-20t04:53+00:00
R55039297,c139259057,malika,katherine,wasson,f,43,1/9/1976, 15  Tonbridge  Place ,Tingalpa,4173.0,QLD, 07  7559  2782 ,wasson53@gmail.com,certificate-ii,personal-services-worker,42295.0, 5843  1311  2827  7885 ,25,2019-08-27T19:53+00:00
R83890445,a148954308,nicholas,,clippard,f,48,22/11/1972, 90  craigs  lane  safari  lodge ,pearcedale,3912.0,vic, 03  4571  6852 ,nicholas.clippard@aol.com,senior-secondary-school,secretary,-9999.0, 0021  2100  6947  3324 ,29,2020-03-22t24:37+00:00
R32027747,f122737047,steve,,neal,m,73,27/1/1947, 23  drummond  crescent  glenrowan  homes ,perth,7300.0,tas, 03  7105  9108 ,qcqmeototf@aol.com,senior-secondary-school,other-clerical-worker,34216.0, 9944  4183  0826  9036 ,53,2019-02-06t03:18+00:00
R55902110,e111505290,monica,d,jones,f,72,1/1/1947, 57  Wallace  Avenue ,Murrumbeena,3163.0,VIC, 03  6172  2419 ,monica8@aol.com,diploma,ict-technician,-9999.0, 3136  8372  7029  1506 ,52,2017-12-04T13:02+00:00
R60562575,h152655607,christopher,daniel,lowry,f,42,8/3/1974, 16  Oxford  Street , New  Lambton ,2305.0,NSW, 02  0459  1911 ,qonmnjrios@hotmail.com,diploma,other-worker,59459.0, 2847  8979  3111  7442 ,27,2016-11-17T16:12+00:00
R53946145,b114459365,jacob,william,baldwin,f,20,3/1/2000, 9  ellis  road  tallia ,braunstone,2460.0,nsw, 02  1193  7889 ,,senior-secondary-school,taxi-driver,-9999.0, 3193  8905  7550  3074 ,1,2020-03-01t16:45+00:00
R43428101,e142081413,michelle,,bonaparte,f,39,23/6/1978, 37  commerce  drive  robina  lakes  medical  centre ,robina,4226.0,qld,,michelle29@mail.com,certificate-i,personal-services-worker,52480.0, 9042  6578  1283  4174 ,22,2016-04-22T18:58+00:00
R05348940,d148090354,rachel,ann,blackwell,f,58,2/9/1958, 15  castle  road  landfall ,warrandyte,3113.0,vic, 03  8299  8483 ,blackwell89@mail.com.au,certificate-ii,personal-services-worker,35024.0, 5702  2136  5980  2392 ,43,2016-12-11T05:39+00:00
R70314131,b137131104,blake,stratton,merritt,m,40,26/9/1980, 40  kaolin  road  virginia  estate ,virginia,835.0,nt, 08  4790  4565 ,blake.merritt@hotmail.com,certificate-iv,ict-technician,-9999.0, 2270  2819  8918  9133 ,21,2020-02-21t07:32+00:00
R44048362,h184406423,angela,carlee,cahoon,f,48,3/2/1969, 180  Meldale  Road ,Toorbul,4510.0,QLD, 07  5142  0267 ,cahoon.angela@mail.com,diploma,automotive-worker,95035.0, 8999  6292  8904  9171 ,32,2017-11-16T13:11+00:00
R17029773,i117279037,lawson,william,akers,f,22,24/2/1998, 1  hardcastle  road  finis  river , dundee  beach ,840.0,nt, 08  1468  6419 ,akers.lawson@yahoo.com,certificate-iv,construction-worker,, 6689  3601  4914  0671 ,3,2020-07-17t12:27+00:00
R83066541,d110863465,janice,raiaelina,lewis,f,33,30/12/1987, 190  lorraine  avenue  berkeley  vlge , berkeley  vale ,2261.0,nsw, 02  5346  4602 ,lewis8@mail.com,bachelor-degree,other-technician,122732.0, 9574  0382  3964  4796 ,14,2020-05-04t19:32+00:00
R37996674,b139667947,tiffany,burgess,burns,f,13,26/10/2007, 126  stanton  close  st  james  village ,heatley,4814.0,qld, 07  2826  2487 ,burns64@mail.com,secondary-school,,0.0,,0,2020-10-17T01:04+00:00
R09299550,e102599095,david,samuelchase,frend,m,42,7/3/1978, 86  east  street  kinross ,woodend,3442.0,vic, 03  5893  4109 ,dkeetbphsh@mail.com.au,advance-diploma,ict-professional,81276.0, 7131  5667  7970  0447 ,20,2017-04-08t22:03+00:00
R82376552,i136722558,blanche,louise,smith,f,48,29/11/1969, 6  Wickfield  Circuit ,Ambarvale,2560.0,NSW, 02  2147  0605 ,zajac.blanche@gmail.com,senior-secondary-school,cleaner,-9999.0, 2672  1817  3125  7490 ,32,2017-07-04T15:54+00:00
R66445327,d165264374,paul,john,counts,f,65,26/5/1955, 163  gawler  road  belle  monte ,gawler,7315.0,tas, 03  5668  6526 ,paul46@aol.com,certificate-ii,carer,, 0781  7642  0018  5173 ,45,2019-12-20t23:55+00:00
R30881766,a180176368,kamlesh,jawad,dennis,m,67,7/4/1953, 479  scaysbrook  drive  brentwood  vlge ,kincumber,2251.0,nsw, 02  1536  5127 ,mcsgjdlmpb@hotmail.com,certificate-i,personal-services-worker,76961.0, 8697  0750  2253  4656 ,48,2020-07-14t10:29+00:00
R68436824,d162488364,darrnell,lynn,harpe,f,16,15/8/2004, 230  dunmore  street  shaw  house , pendle  hill ,2145.0,nsw, 02  0598  3726 ,harpe.darrnell@mail.com,senior-secondary-school,casual-worker,0.0, 6615  6011  1247  5089 ,3,2020-04-24t22:10+00:00
R89185314,e183511984,james,lynn,booker,m,33,2/11/1987, 32  high  street  jetty  village  shopping  centre , coffs  harbour ,2450.0,nsw, 02  7239  4905 ,apfndmafmi@mail.com.au,diploma,other-technician,-9999.0, 1695  4529  6790  1244 ,12,2018-10-10t17:34+00:00
R67309163,a119376036,nikita,lang,centeno,f,54,23/5/1963, 56  logue  court  tipperary  farming  entrance ,walkaway,6528.0,wa, 08  7966  0463 ,nikita35@mail.com.au,senior-secondary-school,personal-assistant,-9999.0, 5480  4544  1123  0293 ,37,2016-08-27T04:04+00:00
R01403757,g137015740,joseph,h,adams,f,35,22/5/1985, 342  elizabeth  street  flr  6 , surry  hills ,2010.0,nsw, 02  0161  5851 ,,advance-diploma,ict-professional,141715.0, 0177  6765  4381  1863 ,16,2020-04-04t06:17+00:00
R78185006,d110580876,eric,daniel,frayer,m,7,14/9/2010, 474  Greensborough  Highway ,Greensborough,3088.0,VIC, 03  8038  2895 ,,primary-school,,0.0,,0,2017-06-27T22:38+00:00
R29733979,e199397237,marlin,david,rogers,f,62,27/4/1958, 5  the  avenue  snowmass , mount  buller ,3723.0,vic, 03  5080  1154 ,marlin.rogers@mail.com,certificate-iii,ict-technician,111963.0, 6901  4053  6768  5084 ,42,2019-03-07t23:52+00:00
R89171037,f193177801,john,lawson,churn,m,11,21/12/2008, 12  Formby  Crescent , Port  Adelaide ,5015.0,SA, 08  1786  0413 ,lscoijgodl@mail.com,secondary-school,,0.0,,0,2019-05-24T01:48+00:00
R18215544,b145418152,wayne,kenneth,walker,f,40,24/1/1980, 194  lorraine  avenue  berkeley  vlge , berkeley  vale ,2261.0,nsw, 02  1741  6193 ,walker.wayne@yahoo.com,masters-degree,legislator,111636.0, 2924  1692  7964  1329 ,21,2020-04-24t12:37+00:00
R84943805,a148954308,nicholas,stimson,clippard,f,48,22/11/1972, 39  Blundell  Boulevarde , Tweed  Heads  South ,2486.0,NSW, 02  6906  4159 ,nicholas.clippard@aol.com,senior-secondary-school,secretary,41580.0, 0021  2100  6947  3324 ,29,2020-09-06T17:08+00:00
R40371075,e105037147,adrianne,nicole,morgan,f,7,28/7/2012, 14  Herbert  Street ,Rockdale,2216.0,NSW, 02  2698  2507 ,adrianne.morgan@aol.com,primary-school,,0.0,,0,2019-09-05T12:49+00:00
R82703200,c120382700,kathy,sawyer,knight,f,59,16/1/1961, 2020  ballarto  road  terra  nostra ,clyde,3978.0,vic, 03  5905  9842 ,kathy.knight@mail.com,certificate-i,other-clerical-worker,41155.0, 5350  3422  1524  0663 ,40,2020-07-04t07:31+00:00
R60037176,f136700761,johnny,clayton,coleman,f,51,15/1/1968, 93  Solandra  Crescent , Modbury  North ,5092.0,SA, 08  9558  2003 ,coleman.johnny@yahoo.com,senior-secondary-school,farm-worker,16851.0, 4014  1688  8217  1331 ,33,2019-03-03T09:50+00:00
R85399081,i118083995,kristoffer,lee,futrell,f,67,13/1/1951, 2  Nelson  Street ,Engadine,2233.0,NSW,,futrell38@yahoo.com,advance-diploma,education-professional,93939.0, 1230  6911  7835  3147 ,48,2016-11-13T15:08+00:00
R08590790,b108799500,lorraine,b,trotter,f,67,24/6/1952, 21  Sunbury  Street ,Geebung,4034.0,QLD,,trotter72@hotmail.com,diploma,engineering-worker,72331.0, 1038  7637  7837  8927 ,49,2019-04-27T22:59+00:00
R28298497,e127898429,spencer,link,denson,m,60,27/7/1959, 127  Mary  Street , Devonport  East ,7310.0,TAS, 03  1767  2188 ,obkepkhfen@gmail.com,doctoral-degree,art-media-professional,90219.0, 8790  5171  5118  7800 ,42,2019-09-13T19:39+00:00
R92258923,h129523892,mark,bryan,dattero,m,25,29/11/1995, 1  hobart  place  amp  bldg , canberra  city ,2601.0,act, 02  4905  1832 ,dattero17@mail.com,secondary-school,part-time-worker,, 3875  4131  1456  4796 ,6,2020-03-24t03:08+00:00
R21070268,a170182260,keith,harold,bedwell,f,54,21/4/1962, 23  Arbutus  Street ,Killarney,4373.0,QLD,,bedwell.keith@hotmail.com,certificate-i,personal-assistant,31954.0, 5037  5115  6015  1381 ,37,2014-07-23T07:34+00:00
R80694347,c103847649,alex,cecil,burris,m,30,20/1/1990, 439  teven  road  miroma ,teven,2478.0,nsw,,bngoteorrh@mail.com,bachelor-degree,other-technician,, 5882  8563  3039  2564 ,9,2018-02-02t24:36+00:00
R30294120,a139212004,michael,olajuwon,fils-aime,m,30,13/9/1987, 307  King  Street ,Newtown,2042.0,NSW, 02  8462  9348 ,michael72@aol.com,certificate-i,clerks,44208.0, 8816  4210  8404  0946 ,14,2017-07-06T24:19+00:00
R58528253,b185283552,sandra,dianne,elmore,f,62,29/6/1958, 122  barlow  close  st  james  village ,heatley,4814.0,qld, 07  2131  0390 ,igaehhnibq@mail.com,certificate-iii,ict-technician,115508.0, 1214  8093  5610  4828 ,43,2020-01-07t05:41+00:00
R54725160,e101567452,joan,renee,rooney,f,28,2/10/1991, 113  Nelson  Road , Mount  Nelson ,7007.0,TAS, 03  4506  6292 ,joan.hsu@hotmail.com,certificate-iv,ict-technician,-9999.0, 3350  5889  8873  9716 ,4,2013-10-07T17:39+00:00
R73725087,g170378275,tyler,donnell,brannock,m,56,24/9/1964, 16  Mark  Road ,Bundaberg,4670.0,QLD, 07  2293  9752 ,tyler75@mail.com,advance-diploma,art-media-professional,-9999.0, 4759  7234  9129  4054 ,37,2020-08-04T12:19+00:00
R09729670,a172909607,judy,l,vail,f,29,8/10/1988, 30  St  Catherines  Court ,Mornington,3931.0,VIC, 03  8862  8049 ,judy16@mail.com.au,certificate-iii,other-worker,66040.0, 1392  6100  8483  6929 ,12,2016-09-22T17:56+00:00
R55450392,g120355954,italino,michael,dunn,f,53,11/5/1967, 67  corona  lane  the  cottage , berkeley  vale ,2261.0,nsw, 02  6385  9019 ,dunn.italino@aol.com,doctoral-degree,manager,138588.0, 7041  0369  3261  4318 ,28,2014-09-24t04:15+00:00
