ssn,first_name_education,middle_name_education,last_name_education,gender_education,current_age,birth_date_education,street_address_education,suburb_education,postcode_education,state_education,phone_education,email_education,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,first_name_medical,middle_name_medical,last_name_medical,gender_medical,age_at_consultation,birth_date_medical,medicare_number,street_address_medical,suburb_medical,postcode_medical,state_medical,phone_medical,email_medical,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp
d118385247,steven,brandon,shepard,f,7,15/9/2013, 9  the  esplanade  bridgeport ,darwin,800.0,nt, 08  2303  2262 ,steven70@hotmail.com,primary-school,,,,0,2020-02-23t03:13+00:00,steven,brandon,shepard,f,7,15/09/2013, 3289  78674  1  3 , 9  the  esplanade  bridgeport ,darwin,800.0,nt,,,,119,25,17,77,157,0,chest-pain-on-exercise,2020-04-18t17:51+00:00
c139826646,joshua,earl,hill,m,36,12/6/1981, 29  Jenner  Court ,Spalding,6530.0,WA, 08  5705  2414 ,hill92@gmail.com,diploma,other-technician,109592.0, 6234  2352  4916  3072 ,19,2016-06-12T15:55+00:00,joshua,earl,hill,f,36,12/06/1981, 7460  60632  1  1 , 43  sergison  circuit  north  bank  caravan  park , rapid  creek ,810.0,nt, 08  7182  4409 ,hill92@gmail.com,married-de-facto,180,89,27,73,159,0,bilateral-leg-cramping,2017-11-26t17:57+00:00
i122031495,cassio,lavone,williamson,f,51,9/12/1966, 13  Smiley  Road ,Broadmeadows,3047.0,VIC, 03  0082  4355 ,williamson21@hotmail.com,diploma,other-technician,125221.0, 6873  6962  9139  3581 ,35,2017-06-27T16:28+00:00,cassio,lavone,williamson,f,48,09/12/1966, 5245  72650  1  1 , 1  beemelon  road  minmi ,burraboi,2732.0,nsw,,williamson21@hotmail.com,divorced,197,140,36,76,178,0,baker's-cyst---l-knee,2014-11-22t11:38+00:00
h186042118,danny,,hogan,m,37,11/6/1983, 157  marconi  street  henry  kendall  bayside , bonnells  bay ,2264.0,nsw, 02  7759  5128 ,,doctoral-degree,education-professional,-9999.0, 9950  9848  5326  0864 ,16,2018-08-22t03:36+00:00,danny,patrick,hogan,f,34,11/06/1983, 9288  22592  2  1 , 157  marconi  street  henry  kendall  bayside , bonnells  bay ,,nsw, 02  7759  5128 ,,separated,194,88,23,71,178,0,fall,2017-04-14t23:23+00:00
i191834916,shawn,graeme,mcneill,f,21,5/2/1999, 123  willandra  road  villa  14 ,cromer,2099.0,nsw,,mcneill.shawn@gmail.com,certificate-iv,ict-technician,-9999.0, 5583  2118  0764  8570 ,2,2020-02-07t24:58+00:00,shawn,graeme,mcneill,f,19,05/02/1999, 9045  10204  1  3 , 123  willandra  road  villa  14 ,cromer,2099.0,nsw, 02  0221  7696 ,mcneill.shawn@gmail.com,married-de-facto,168,103,36,75,90,0,parkinson's-disease,2018-07-16t14:14+00:00
b185061485,eugenia,,harris,f,28,23/1/1992, 53  binalong  road  mayflower  village , pendle  hill ,2145.0,nsw, 02  3809  5233 ,harris25@aol.com,certificate-iii,automotive-worker,71813.0, 0529  7174  7038  4837 ,7,2018-02-21t13:17+00:00,eugenia,c,harris,f,25,23/01/1992, 9224  30285  2  3 , 53  binalong  road  mayflower  village , pendle  hill ,2145.0,nsw, 02  3809  5233 ,harris25@aol.com,married-de-facto,175,112,36,73,151,1,left-knee-pain,2017-01-25t21:01+00:00
b108644471,ronald,frazier,melvin,f,49,17/9/1971, 1  windmill  road  rum  jungle ,batchelor,845.0,nt, 08  0940  7581 ,melvin.ronald@mail.com,certificate-i,clerical-worker,-9999.0, 7244  8962  0305  5522 ,24,2014-05-23t10:37+00:00,ronald,frazier,melvin,f,45,17/09/1971, 4852  50762  1  1 , 1  windmill  road  rum  jungle ,batchelor,,nt, 08  0940  7581 ,,married,167,67,24,75,110,0,atrial-fib,2016-03-14t22:45+00:00
i131083951,george,rudolph,mcallister,m,65,29/11/1955, 1  hill  end  road  cryna  street ,beaudesert,4285.0,qld, 07  6501  0927 ,george.mcallister@yahoo.com,doctoral-degree,art-media-professional,, 7597  6665  2884  0208 ,46,2020-05-08t10:33+00:00,george,,mcallister,m,58,29/11/1955, 1915  62786  2  1 , 289  richardson  road  scotvale  medical  centre , north  rockhampton ,4701.0,qld, 07  6501  0927 ,george.mcallister@yahoo.com,not-married,168,64,22,73,300,1,history-of-falling.,2013-07-22t02:09+00:00
a185358490,carrie,michelle,futrell,f,27,18/12/1993, 15  research  road  flt  2 ,lara,3212.0,vic, 03  5381  8544 ,carrie.futrell@mail.com.au,senior-secondary-school,construction-labourer,13564.0, 9242  2185  8062  9645 ,8,2020-03-02t10:39+00:00,carrie,michelle,futrell,f,22,18/12/1993, 6740  65153  2  2 , 43  charles  street  kialla  lodge ,dromana,3936.0,vic, 03  5381  8544 ,carrie.futrell@mail.com.au,not-married,170,73,25,76,176,0,constipation,2015-01-11t02:49+00:00
d139378496,andrew,ladd,neptune,m,65,7/1/1955, 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld, 07  3492  1257 ,neptune66@gmail.com,certificate-iii,automotive-worker,55039.0, 1431  1328  7024  8839 ,42,2016-01-09t09:42+00:00,andrew,ladd,neptune,m,58,07/01/1955, 9714  64605  1  1 , 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld,,neptune66@gmail.com,married,175,79,25,70,191,0,fall,2013-06-20t02:30+00:00
e190156101,micah,vinicio,draper,m,27,22/4/1990, Yanac  Road ,Broughton,3418.0,VIC, 03  2522  3681 ,micah66@hotmail.com,graduate-diploma,legislator,127091.0, 6926  6687  7717  5062 ,11,2017-05-18T12:05+00:00,micah,vinicio,draper,m,25,22/04/1990, 1222  76036  2  1 , 1  milikapiti  street  snake  bay , melville  island ,,nt,,,divorced,190,94,26,74,184,0,dizziness,2017-12-07t20:25+00:00
g108395392,hamilton,wayne,lun,m,49,26/4/1971, 30  bollard  circuit  the  moorings , clear  island  waters ,4226.0,qld, 07  9558  5820 ,lun.hamilton@mail.com.au,graduate-diploma,general-manager,149629.0, 2509  0661  2583  9228 ,28,2018-12-11t17:55+00:00,hamilton,wayne,lun,m,46,26/04/1971, 4606  47153  1  2 , 30  bollard  circuit  the  moorings , clear  island  waters ,4226.0,qld,,lun.hamilton@mail.com.au,married-de-facto,199,128,32,69,213,0,phlegm-in-throat,2017-08-04t23:32+00:00
d149393857,timothy,eugene,vogler,m,62,12/9/1954, 3  Oakwood  Place , Hornsby  Heights ,2077.0,NSW,,idbpabakia@mail.com,bachelor-degree,education-professional,, 5808  8550  1475  5339 ,47,2016-09-03T05:08+00:00,timothy,eugene,vogler,m,62,12/09/1954, 7920  51190  1  1 , 62  goanna  street  wangi  pt  tourist  park , wangi  wangi ,2267.0,nsw, 02  0589  4732 ,,married-de-facto,184,114,33,83,169,0,nausea,2016-04-11t10:17+00:00
e102508696,melanie,colbert,barto,f,56,11/10/1961, 1189  wynnum  road  monte  carlo  cvan  p ,murarrie,4172.0,qld, 07  1367  5737 ,melanie87@yahoo.com,senior-secondary-school,construction-labourer,14096.0, 6345  1857  8729  2139 ,40,2017-01-19T21:46+00:00,melanie,colbert,barto,f,54,11/10/1961, 5090  84573  1  1 , 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld, 07  1367  5737 ,melanie87@yahoo.com,not-married,189,55,15,72,198,0,skin-graft,2015-09-04t22:35+00:00
e113527223,charman,bible,lindley,f,33,13/9/1987, 1  wodonga-yack  road  sec  h ,yackandandah,3749.0,vic, 03  9457  0990 ,lokjspojmf@mail.com.au,diploma,engineering-worker,55968.0, 8390  8926  2883  3851 ,14,2020-02-01t08:35+00:00,charman,bible,lindley,f,28,13/09/1987, 4669  63714  1  2 , 1290  skipton  road  lismore  road , mount  bute ,,vic, 03  9457  0990 ,,married,199,69,17,80,47,0,fibula-fracture,2015-12-05t01:23+00:00
e110086140,james,l,mcdaniel,m,34,30/11/1984, 1  Teakle  Court , Mount  Barker ,5251.0,SA, 08  9670  9409 ,mcdaniel.james@aol.com,diploma,other-technician,106661.0, 9038  8190  3409  5460 ,14,2015-05-15T05:13+00:00,james,,mcdaniel,m,32,30/11/1984, 9393  80820  1  1 , 17  university  avenue  palm  plaza ,palmerston,830.0,nt,,mcdaniel.james@aol.com,married,185,64,18,73,136,1,urinary-frenquency,2016-02-20t22:20+00:00
d178449526,phear,c,patterson,m,40,5/11/1977, 26  Davies  Street ,Bairnsdale,3875.0,VIC, 03  7223  4024 ,phear36@mail.com,certificate-iv,other-worker,92850.0, 3022  5531  4708  0056 ,23,2016-10-10T09:57+00:00,phear,c,patterson,f,38,05/11/1977, 8703  31539  1  1 , 153  esplanade  street  guest  hse ,cairns,4870.0,qld,,phear36@mail.com,not-married,178,82,25,76,160,1,torn-left-miniscus,2015-02-01t11:51+00:00
d135912598,cynthia,mcmasters,johnson,f,16,3/9/2004, 8  black  lead  road  brinjarry ,gulgong,2852.0,nsw, 02  5026  4548 ,cynthia71@yahoo.com,senior-secondary-school,casual-worker,, 6170  6081  6574  5941 ,3,2020-06-20t08:58+00:00,cynthia,mcmasters,johnson,f,12,03/09/2004, 1953  71746  2  3 , 60  waratah  way  melrose  clinic ,wodonga,3690.0,vic,,cynthia71@yahoo.com,,155,47,19,73,188,0,hypothyroidism,2016-03-19t04:19+00:00
b124079794,holly,alison,pittman,f,9,13/6/2011, 51  Johnstone  Street ,Castlemaine,3450.0,VIC, 03  6917  7345 ,pittman40@aol.com,primary-school,,0.0,,0,2020-02-05T07:31+00:00,holly,alison,pittman,f,9,13/06/2011, 1255  35677  1  3 , 25  brinsmead  lane  leo-villa ,leopold,3224.0,vic, 03  3135  1934 ,pittman40@aol.com,,137,33,17,73,248,0,shortness-of-breath-when-walking-up-hills,2020-06-21t07:37+00:00
e163367249,tonya,f,brown,f,34,12/6/1986, 6  leichhardt  terrace  leichtodd  plaza , alice  springs ,870.0,nt,,jikltkamqm@gmail.com,certificate-iv,automotive-worker,54962.0, 8939  8145  6055  1550 ,15,2020-03-26t20:40+00:00,tonya,f,brown,f,29,12/06/1986, 6185  72054  2  2 , 582  william  street  apt  5 , mount  lawley ,6050.0,wa, 08  7849  3347 ,jikltkamqm@gmail.com,not-married,166,149,54,78,191,0,fall,2015-02-26t12:21+00:00
e161017775,kay,,oxendine,f,65,31/8/1952, 25  Livingstone  Avenue ,Pymble,2073.0,NSW, 02  0471  3193 ,kjmmctmhdk@hotmail.com,certificate-iii,ict-technician,80750.0, 6470  3923  4336  6029 ,45,2013-03-23T10:38+00:00,kay,l,oxendine,m,64,31/08/1952, 6089  19843  2  2 , 1  koschitzke's  road  topkat  grains ,warracknabeal,3393.0,vic, 03  2728  6353 ,kjmmctmhdk.hotmail.com,married,196,147,38,77,166,0,insomnia,2016-11-12t19:32+00:00
e179906465,donald,lawrence,simmons,f,62,26/1/1957, 27  Albert  Street ,Taree,2430.0,NSW, 02  9092  3033 ,simmons17@mail.com,bachelor-degree,legal-professional,138685.0, 6743  0845  3512  0088 ,37,2012-07-15T21:54+00:00,donald,lawrence,simmons,f,59,26/01/1957, 7280  71755  2  1 , 117  mountain  straight  street  mount  panorama ,bathurst,2795.0,nsw,,,not-married,180,57,17,65,57,1,headache,2016-05-05t13:31+00:00
g152392117,drew,phillip,earley,f,26,4/5/1994, 19  lake  street  courtlands , north  parramatta ,2151.0,nsw, 02  6095  7771 ,earley2@gmail.com,graduate-diploma,legal-professional,114589.0, 2038  0375  2413  6098 ,7,2020-05-03t23:16+00:00,drew,phillip,earley,m,23,04/05/1994, 4182  52779  2  3 , 19  lake  street  courtlands , north  parramatta ,2151.0,nsw,,earley2@gmail.com,married-de-facto,193,111,29,72,110,0,low-energy,2017-08-08t21:45+00:00
d143805759,albert,hugo,lofton,f,42,29/9/1978, 39  colooli  road  cutler  vlge ,narrabeen,2101.0,nsw, 02  4232  4176 ,lofton7@gmail.com,certificate-iii,engineering-worker,63424.0, 9665  9441  1828  0795 ,23,2020-06-03t17:57+00:00,albert,hugo,lofton,f,37,29/09/1978, 3955  23920  1  1 , 497  bexhill  road  boatharbour  street ,goonellabah,,nsw, 02  4232  4176 ,,married,179,81,25,72,119,0,back-pain,2015-06-27t06:37+00:00
e116324167,tami,sherelle,white,f,21,23/8/1999, 1  bronzewing  avenue  howard  river  park , howard  springs ,835.0,nt, 08  8733  1063 ,gnodctboie@mail.com.au,bachelor-degree,education-professional,81788.0, 8117  0372  5704  4838 ,2,2020-04-01t20:20+00:00,tami,sherelle,white,f,18,23/08/1999, 2970  72846  1  3 , 1  bronzewing  avenue  howard  river  park , howard  springs ,835.0,nt, 08  8733  1063 ,gnodctboie@mail.com.au,married,183,61,18,74,151,0,kidney-infection,2017-04-26t16:23+00:00
e128811841,adam,frank,king,f,42,8/8/1978, 1  ridge  road  spring  banks ,garvoc,3265.0,vic, 03  5467  8259 ,adam.king@aol.com,diploma,other-worker,94705.0, 2475  4057  6012  7169 ,19,2016-10-17t18:06+00:00,adam,,king,f,41,08/08/1978, 5900  20739  1  1 , 1  ridge  road  spring  banks ,garvoc,3265.0,vic,,adam.king@aol.com,married,180,145,44,73,174,0,constipation,2019-02-24t11:32+00:00
f146579116,rodney,ray,waterson,f,48,27/9/1968, 54  Learmonth  Street ,Sunbury,3429.0,VIC, 03  5902  4449 ,,certificate-i,other-clerical-worker,37132.0, 2675  4182  8798  5576 ,33,2016-08-16T11:23+00:00,rodney,ray,matthews,f,48,27/09/1968, 6349  61058  1  2 , 1  dulguigan  road  wobul  creek ,tumbulgum,,nsw, 02  1048  8092 ,,married,187,112,32,76,229,0,upper-respiratory-tract-infection,2016-12-13t17:57+00:00
e163367249,tonya,f,brown,f,34,12/6/1986, 6  leichhardt  terrace  leichtodd  plaza , alice  springs ,870.0,nt, 08  9998  4856 ,jikltkamqm@gmail.com,certificate-iv,automotive-worker,54962.0, 8939  8145  6055  1550 ,15,2020-03-26t20:40+00:00,tonya,f,brown,f,29,12/06/1986, 6185  72054  2  2 , 582  william  street  apt  5 , mount  lawley ,6050.0,wa, 08  7849  3347 ,jikltkamqm@gmail.com,not-married,166,149,54,78,191,0,fall,2015-02-26t12:21+00:00
i139487847,jerry,richard,gardner,m,13,17/10/2007, 1  hobart  place  amp  building , canberra  city ,2601.0,act, 02  1131  7855 ,,secondary-school,,,,0,2020-07-19t07:56+00:00,jerry,richard,gardner,m,11,17/10/2007, 4798  89925  1  3 , 1  hobart  place  amp  building , canberra  city ,2601.0,act, 02  1131  7855 ,,,125,50,32,77,164,0,hypokalemia,2018-05-15t24:31+00:00
i107000799,jack,dean,hankins,m,52,4/1/1968, 1  evans  road  heritage  homes ,toukley,2263.0,nsw, 02  6287  3841 ,hankins.jack@gmail.com,bachelor-degree,other-technician,137251.0, 2270  8548  9302  8199 ,28,2015-09-13t13:41+00:00,jack,dean,hankins,m,47,04/01/1968, 4939  58089  1  1 , 1  evans  road  heritage  homes ,toukley,2263.0,nsw, 02  6287  3841 ,hankins.jack@gmail.com,not-married,193,119,31,73,171,1,triple-bypass-open-heart-surgery,2015-07-05t06:48+00:00
i151361056,william,john,beill,m,21,21/2/1999, 18  saxby  drive  saxby  park ,strathfieldsaye,3551.0,vic,,beill16@aol.com,advance-diploma,legal-professional,, 2037  0125  1186  1355 ,2,2020-03-18t19:05+00:00,william,john,beill,m,19,21/02/1999, 6586  17873  1  2 , 18  saxby  drive  saxby  park ,strathfieldsaye,3551.0,vic, 03  1485  8857 ,,married-de-facto,165,56,20,77,202,0,fall-out-of-bed,2018-07-09t19:55+00:00
d148325110,cherie,ann,tyson,f,79,31/8/1941, 7  tumema  street  safia  community ,bamaga,4876.0,qld,,cherie75@mail.com,certificate-i,re-tired,0.0, 5441  6864  8886  4395 ,45,2019-08-15t08:12+00:00,cherie,ann,tyson,m,73,31/08/1941, 4557  42750  1  2 , 18  mcharg  road  hillsview , happy  valley ,5159.0,sa,,,not-married,195,88,23,77,133,0,tachycardia,2014-09-02t15:16+00:00
d102448888,latara,marie,bode,f,68,3/11/1952, 1  toogoom  road  tamaramia ,toogoom,4655.0,qld, 07  0218  5659 ,bode.latara@aol.com,certificate-i,other-service-worker,-9999.0, 9993  1000  3992  2462 ,47,2018-06-27t18:34+00:00,latara,marie,bode,f,61,03/11/1952, 3562  20931  2  1 , 736  beams  road  villa  11  holy  spirit ,carseldine,4034.0,qld, 07  0218  5659 ,,divorced,192,119,32,77,213,0,diarrhea,2013-08-17t06:47+00:00
b144141271,mark,phillip,bowers,m,26,24/3/1994, 347  eastbourne  road  the  village  glen , rosebud  west ,3940.0,vic, 03  1786  8752 ,qcppfhqpif@yahoo.com,senior-secondary-school,construction-labourer,15297.0, 9589  0564  8472  2438 ,7,2020-03-15t05:32+00:00,mark,phillip,bowers,m,24,24/03/1994, 2103  80683  1  2 , 347  eastbourne  road  the  village  glen , rosebud  west ,,vic,,qcppfhqpif@yahoo.com,married,179,63,19,76,197,1,chronic-lower-back-pain,2018-04-19t21:14+00:00
f189558600,gary,,reed,m,46,1/6/1971, 23  Devitt  Street ,Narrabeen,2101.0,NSW, 02  9557  4417 ,gary.reed@yahoo.com,certificate-ii,construction-worker,68433.0, 6373  4140  4110  2166 ,30,2017-10-08T06:58+00:00,gary,l,reed,m,44,01/06/1971, 1901  30517  2  2 , 18  rockvale  road  north  hill  medical  centre ,armidale,2350.0,nsw,,,married,198,-99,19,83,284,0,musculoskeletal-pain-shoulders-and-arms,2015-06-25t05:42+00:00
i188638026,lynda,soler,goddard,f,84,7/4/1934, 84  Gorman  Street , Darling  Heights ,4350.0,QLD, 07  0486  8138 ,,certificate-iv,re-tired,0.0, 1190  4097  9564  5443 ,45,2012-02-01T14:10+00:00,lynda,soler,goddard,f,80,07/04/1934, 1919  77417  2  1 , 16  sweaney  street  county  fair ,inverell,2360.0,nsw, 02  7702  8436 ,sbdorjlhpt.aol.com,not-married,193,91,24,73,154,0,sweating,2017-01-22t21:43+00:00
a182809584,eddie,,sandin,m,71,25/8/1949, 59  Scotia  Avenue ,Oberon,2787.0,NSW,,sandin.eddie@yahoo.com,certificate-iv,engineering-worker,99849.0, 3103  8543  3490  3302 ,50,2018-02-19T02:51+00:00,eddie,gene,sandin,m,70,25/08/1949, 4907  33657  2  1 , 70  manuka  road  minard ,berwick,3806.0,vic, 03  6181  4046 ,,married,178,140,44,75,25,0,sharp-pain-on-side-of-head-following-lumbar-puncture,2019-12-08t02:43+00:00
g143675463,bradley,eugene,price,f,62,4/4/1958, 240  mitchell  road  lucivale , wagga  wagga ,2650.0,nsw, 02  8373  7575 ,bradley.price@gmail.com,masters-degree,legal-professional,, 1092  5097  2107  2002 ,43,2020-07-09t07:19+00:00,bradley,eugene,price,f,59,04/04/1958, 5244  96427  1  1 , 240  mitchell  road  lucivale , wagga  wagga ,,nsw,,bradley.price@gmail.com,married,192,-99,38,87,163,0,emphysema,2017-04-26t23:17+00:00
c199874543,veronica,sartin,coriano,f,59,11/1/1957, 3  Vega  Court ,Woodroffe,830.0,NT, 08  0310  6974 ,parker.veronica@mail.com.au,diploma,ict-technician,149326.0, 2513  0639  2672  4929 ,44,2016-12-20T05:40+00:00,veronica,sartin,parker,m,62,11/01/1957, 4024  75249  1  2 , 6390  goulburn  valley  highway  peppercorn  lodge ,arcadia,3631.0,vic, 03  7980  9753 ,parker.veronica@mail.com.au,not-married,197,129,33,76,145,0,insomnia,2019-01-17t05:14+00:00
c153159997,edward,rummerleon,naber,f,56,30/12/1961, 18  Roydon  Way ,Girrawheen,6064.0,WA, 08  1959  2591 ,edward.naber@aol.com,certificate-iv,other-worker,59046.0, 1970  6586  5697  2839 ,23,2000-01-22T11:14+00:00,edward,rummerleon,naber,f,53,30/12/1961, 9202  36465  1  1 , 22  mitchell  street  central  specialist  clinic ,darwin,800.0,nt, 08  2554  7497 ,edward.naber@aol.com,married,165,118,43,77,199,0,non-malignant-growth-removed-r-face,2014-09-15t12:08+00:00
h140444170,ronald,gene,brodie,f,58,17/1/1962, 8  chapman  street  araluen , carrum  downs ,3201.0,vic, 03  0446  5516 ,ronald.brodie@gmail.com,senior-secondary-school,factory-worker,-9999.0, 9678  3964  2945  6768 ,32,2013-03-26t07:35+00:00,ronald,gene,brodie,f,56,17/01/1962, 2905  23174  2  1 , 8  chapman  street  araluen , carrum  downs ,3201.0,vic,,ronald.brodie@gmail.com,married-de-facto,166,84,30,75,112,0,benign-mole-removed,2018-08-02t07:55+00:00
i115121207,william,,hoffman,m,27,30/8/1989, 8  Sanderling  Street ,Wulagi,812.0,NT, 08  5156  7578 ,william.hoffman@mail.com.au,graduate-diploma,ict-professional,, 5622  6546  6931  4878 ,12,2016-11-08T21:31+00:00,william,jayantibhai,hoffman,f,27,30/08/1989, 6539  88351  2  2 , 2  hawker  place  birubi  medical  chmbrs ,hawker,2614.0,act, 02  0556  2042 ,william.hoffman@mail.com.au,married,190,-99,35,76,259,0,urinary-frequency,2016-11-23t18:02+00:00
f106572667,stephania,debardeleben,maloof,f,14,25/7/2006, 1  castledoyle  road  bentom ,armidale,2350.0,nsw, 02  8268  0675 ,stephania.maloof@hotmail.com,secondary-school,,,,0,2020-05-06t14:51+00:00,stephania,debardeleben,maloof,f,12,25/07/2006, 1185  25202  1  2 , 1  castledoyle  road  bentom ,armidale,2350.0,nsw,,stephania.maloof@hotmail.com,,142,64,31,75,194,0,macular-degeneration,2018-03-26t11:50+00:00
a191237667,stephanie,lee,maness,f,73,1/12/1947, 70  Summerhill  Road ,Footscray,3011.0,VIC, 03  3635  3901 ,maness.stephanie@gmail.com,certificate-iii,construction-worker,99270.0, 9454  7975  9027  5784 ,54,2020-06-04T14:36+00:00,stephanie,lee,maness,f,66,01/12/1947, 5239  76465  1  2 , 18  cooradilla  street  raaf  base ,darwin,,nt, 08  5695  7354 ,,married-de-facto,184,84,24,74,135,0,iinsomnia,2015-04-16t11:37+00:00
b110644147,stephen,gregory,patterson,f,60,6/6/1960, 6  woniora  road  malonga  park ,burnie,7320.0,tas, 03  4377  8142 ,,secondary-school,other-labourer,13186.0, 5352  9238  4007  8324 ,39,2018-08-14t02:45+00:00,stephen,gregory,patterson,f,56,06/06/1960, 7643  13443  1  1 , 6  woniora  road  malonga  park ,burnie,,tas, 03  4377  8142 ,bbbdklccpe@gmail.com,not-married,195,132,34,72,117,0,cervical-instability/stenosis,2016-05-27t15:19+00:00
