rec_id_medical,ssn,age_at_consultation,medicare_number,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp,rec_id_education,current_age,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,first_name,middle_name,last_name,gender,birth_date,street_address,suburb,postcode,state,phone,email
rec-7460,d135912598,12, 1953  71746  2  3 ,,155,47,19,73,188,0,hypothyroidism,2016-03-19t04:19+00:00,R29958531,16,senior-secondary-school,casual-worker,, 6170  6081  6574  5941 ,3,2020-06-20t08:58+00:00,cynthia,mcmasters,johnson,f,03/09/2004, 60  waratah  way  melrose  clinic ,wodonga,3690.0,vic, 02  5026  4548 ,cynthia71@yahoo.com
rec-43295,e161104631,63, 4341  38312  2  1 ,married-de-facto,196,147,38,76,188,1,cataract-od,2017-12-21t21:06+00:00,R14603161,66,bachelor-degree,education-professional,, 9354  3193  2710  2970 ,47,2020-03-12t07:49+00:00,sharon,teel,shortt,f,08/02/1954, 1  wieden  street  rp  152772 ,kingaroy,4610.0,qld, 07  9819  1130 ,nmasshlgtm.mail.com.au
rec-98316,c154966650,57, 2636  43770  2  1 ,not-married,199,129,32,63,266,0,urinary-tract-infection,2015-09-09t22:21+00:00,R66549065,62,diploma,automotive-worker,, 6652  0380  2641  8714 ,43,2020-04-11t23:59+00:00,anthony,t,blevins,f,11/05/1958, 128  north  oatlands  road  kenwyn ,yarrambat,3091.0,vic, 03  2225  8815 ,bptfjctkip@gmail.com
rec-3226,a105768490,5, 2646  56205  1  2 ,,100,-99,19,74,103,0,paroxysmal-atrial-fibrillation,2020-02-23t19:38+00:00,R79085640,5,pre-school,,,,0,2020-07-13t01:41+00:00,sallee,lindsey,tinney,m,11/06/2015, 29  old  dubbo  road  gleneira ,dubbo,2830.0,nsw, 02  2271  6225 ,sallee.tinney@gmail.com
rec-14096,e108033601,28, 8074  63910  2  1 ,not-married,197,84,21,78,136,0,back-pain,2017-10-22t23:07+00:00,R06008313,31,graduate-certificate,chief-executive,, 5654  3522  7458  7240 ,12,2020-06-07t01:34+00:00,herman,baron,walker,m,21/05/1989, 1  appila  road  pinda ,appila,5480.0,sa, 08  6306  8741 ,klthehbddq@aol.com
rec-95037,h194393394,58, 3129  37775  2  1 ,married-de-facto,198,101,25,77,157,0,bilat-cataract-surgery,2014-07-06t04:06+00:00,R44399393,64,graduate-diploma,legislator,, 9646  0064  2744  2582 ,41,2016-09-09t12:42+00:00,john,aaron,vulin,f,13/11/1956, 1  bunya  highway  vics  crossing ,wondai,4606.0,qld, 07  0633  7552 ,dkonntelht@hotmail.com
rec-18313,d195500589,36, 3240  69189  2  1 ,married-de-facto,176,110,35,75,219,0,complications-following-spinal-surgery,2017-03-17t05:58+00:00,R05089595,39,diploma,construction-worker,, 0653  3454  5560  7340 ,20,2020-02-11t12:57+00:00,daisy,monique,hart,f,12/01/1981, 9  cavenagh  street  national  mutual  centre ,darwin,800.0,nt, 08  9197  4604 ,daisy.hart@hotmail.com
rec-59190,g135643468,10, 2516  80122  1  3 ,,127,38,23,78,177,0,constipation,2019-03-27t24:06+00:00,R53646384,11,primary-school,,,,0,2020-02-09t21:40+00:00,winifred,sun,krause,f,05/10/2009, 26  mitchell  street  mallam  chambers ,darwin,800.0,nt, 08  8149  7779 ,winifred.krause@mail.com.au
rec-73461,e136079244,39, 5699  41281  1  2 ,not-married,169,72,25,72,238,0,cardiac-angiogram,2013-09-25t21:31+00:00,R49403762,46,senior-secondary-school,clerks,, 9722  8577  2213  8522 ,27,2020-02-05t13:35+00:00,nicholas,marc,rose,f,10/03/1974, 2  outreach  drive  una  villas ,legana,7277.0,tas, 03  8048  4330 ,rose16@yahoo.com
rec-76551,c133651921,10, 7232  64736  1  3 ,,136,54,29,80,119,0,enlarged-prostate,2013-08-15t01:17+00:00,R93251361,17,senior-secondary-school,casual-worker,, 4816  7913  9071  4886 ,2,2020-01-07t03:27+00:00,howard,todd,somerville,f,02/05/2003, 9  charnwood  road  flt  2 , st  kilda ,3182.0,vic, 03  2440  1322 ,somerville.howard@aol.com
rec-22249,i139487847,11, 4798  89925  1  3 ,,125,50,32,77,164,0,hypokalemia,2018-05-15t24:31+00:00,R73884749,13,secondary-school,,,,0,2020-07-19t07:56+00:00,jerry,richard,gardner,m,17/10/2007, 1  hobart  place  amp  building , canberra  city ,2601.0,act, 02  1131  7855 ,
rec-14411,h143659381,64, 3356  11400  1  2 ,married,171,-99,27,77,193,0,low-energy,2018-09-05t02:47+00:00,R51398436,66,bachelor-degree,ict-technician,, 3102  9559  9444  9754 ,41,2014-10-03t08:52+00:00,caroline,joann,fields,f,09/08/1954, 15  victoria  avenue  broadbeach  central  mall ,broadbeach,4218.0,qld, 07  7520  7791 ,caroline.fields@yahoo.com
rec-30865,e191090774,6, 8555  25423  2  2 ,,117,-99,19,79,162,0,cramping,2012-11-20t21:34+00:00,R74070199,14,secondary-school,,,,0,2020-06-08t24:31+00:00,johnny,frank,travers,m,07/08/2006, 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld, 07  9678  9166 ,travers29.gmail.com
rec-39434,i107000799,47, 4939  58089  1  1 ,not-married,193,119,31,73,171,1,triple-bypass-open-heart-surgery,2015-07-05t06:48+00:00,R00097970,50,bachelor-degree,other-technician,, 2270  8548  9302  8199 ,28,2013-01-21T17:46+00:00,jack,dean,hankins,m,04/01/1968, 1  evans  road  heritage  homes ,toukley,2263.0,nsw, 02  6287  3841 ,hankins.jack@gmail.com
rec-23183,i151361056,19, 6586  17873  1  2 ,married-de-facto,165,56,20,77,202,0,fall-out-of-bed,2018-07-09t19:55+00:00,R01656531,21,advance-diploma,legal-professional,, 2037  0125  1186  1355 ,2,2020-03-18t19:05+00:00,william,john,beill,m,21/02/1999, 18  saxby  drive  saxby  park ,strathfieldsaye,3551.0,vic, 03  1485  8857 ,beill16@aol.com
rec-86705,g150498711,27, 4513  87315  1  2 ,married-de-facto,190,144,39,79,88,1,chest-pain-(tightness),2016-09-09t18:48+00:00,R57941180,31,bachelor-degree,other-technician,, 1609  8353  4960  0352 ,11,2019-08-06t10:15+00:00,larry,w,hopkins,f,20/09/1989, 650  old  main  road  black  snake  inn ,granton,7030.0,tas, 03  0468  4313 ,rtqedqmpic@gmail.com
rec-85148,d189320445,26, 5645  91508  2  1 ,not-married,191,121,33,68,177,0,syncope-episode,2017-09-18t12:27+00:00,R08549324,29,senior-secondary-school,clerks,, 7817  1425  7545  9560 ,10,2020-01-01t01:10+00:00,james,alexander,vyas,m,29/08/1991, 74  emu  bank  street  belconnen  orthodontic  centre ,belconnen,2617.0,act, 02  1031  1543 ,vyas39@mail.com
rec-60087,b144141271,24, 2103  80683  1  2 ,married,179,63,19,76,197,1,chronic-lower-back-pain,2018-04-19t21:14+00:00,R41147214,24,senior-secondary-school,construction-labourer,, 9589  0564  8472  2438 ,7,2018-03-26T06:17+00:00,mark,phillip,bowers,m,24/03/1994, 347  eastbourne  road  the  village  glen , rosebud  west ,4850.0,vic, 07  9375  0835 ,qcppfhqpif@yahoo.com
rec-41238,h194019904,21, 4323  89660  1  3 ,married,197,90,23,75,251,0,low-energy,2013-04-14t12:01+00:00,R40904919,28,graduate-diploma,education-professional,, 1946  5225  4578  6755 ,8,2019-12-02t13:49+00:00,marshall,roy,worthington,m,19/01/1992, 98  dover  street  wrhse  4 ,richmond,3103.0,vic, 03  4682  4184 ,
rec-43820,g194970792,51, 6125  95663  1  1 ,married,181,124,37,75,165,0,fall,2013-03-01t03:16+00:00,R79297049,58,graduate-certificate,legal-professional,, 7061  0170  1293  2550 ,38,2019-04-14t20:19+00:00,ofelia,petteway,smith,f,12/06/1962, 23  beech  drive  byron  hills , suffolk  park ,2481.0,nsw, 02  1565  5528 ,smith67@yahoo.com
rec-37217,h134143935,63, 2686  22331  1  2 ,married,194,138,36,74,149,0,seasonal-allergies,2017-02-03t20:38+00:00,R34339514,66,diploma,other-technician,, 8474  2293  1821  3949 ,46,2019-06-03t01:08+00:00,john,elmer,tully,m,05/07/1954, 3  port  jackson  circuit  georgian  mews ,phillip,2606.0,act, 02  6173  8492 ,john.tully@hotmail.com
rec-70095,g143675463,59, 5244  96427  1  1 ,married,192,-99,38,87,163,0,emphysema,2017-04-26t23:17+00:00,R46633745,62,masters-degree,legal-professional,, 1092  5097  2107  2002 ,43,2020-07-09t07:19+00:00,bradley,eugene,price,f,04/04/1958, 240  mitchell  road  lucivale , wagga  wagga ,2650.0,nsw, 02  8373  7575 ,bradley.price@gmail.com
rec-74983,e128715953,34, 3388  63276  2  1 ,married,191,98,26,73,196,0,hiatal-hernia,2015-02-15t23:47+00:00,R31579825,39,advance-diploma,legal-professional,, 9030  4081  1910  9210 ,18,2018-04-22t04:33+00:00,norman,william,johnson,f,22/07/1981, 3  glenhaven  court  victory  gardens  ho ,merrimac,4226.0,qld, 07  5919  0220 ,amtjqckifr.mail.com
rec-96163,h154185613,18, 3284  27837  1  3 ,married,186,92,26,74,49,1,right-eye-cataract,2016-06-13t12:18+00:00,R15613584,22,certificate-ii,personal-services-worker,, 1740  3333  6373  5236 ,3,2020-01-07t22:21+00:00,lawrence,raymond,pilgrim,f,09/07/1998, 17  strafford  street  seymour  house ,manilla,2346.0,nsw, 02  1046  0557 ,lawrence65@yahoo.com
rec-8354,d163234496,20, 1058  51776  2  3 ,married,183,70,20,78,221,0,fell-and-hit-head,2017-04-02t01:17+00:00,R43963462,23,certificate-ii,personal-services-worker,, 0454  9900  3263  1178 ,4,2020-04-17t02:23+00:00,tom,harold,britt,m,27/11/1997, 1  jacob  road  willyaroo ,strathalbyn,5255.0,sa, 08  7469  6180 ,nsqgkldpsj@yahoo.com
rec-95405,h140444170,56, 2905  23174  2  1 ,married-de-facto,166,84,30,75,112,0,benign-mole-removed,2018-08-02t07:55+00:00,R44474001,54,senior-secondary-school,factory-worker,, 9678  3964  2945  6768 ,32,2009-05-07T17:37+00:00,ronald,gene,brodie,f,17/01/1962, 8  chapman  street  araluen , carrum  downs ,3201.0,vic, 08  7787  1359 ,ronald.brodie@gmail.com
rec-12376,h104943507,28, 7022  64487  1  1 ,married,168,62,21,73,229,0,palpitations,2018-06-23t02:04+00:00,R07945430,30,certificate-i,other-service-worker,, 2643  6838  1786  6884 ,11,2020-07-22t11:27+00:00,patricia,ann,abercrombie,m,09/11/1990, 204  david  low  way  maroochy  river  resort ,maroochydore,4558.0,qld, 07  7881  5281 ,abercrombie.patricia@mail.com.au
rec-67705,a102738150,54, 5871  22522  2  2 ,married,190,99,27,76,146,0,urinary-discomfort-associated-with-possible-uti,2016-10-16t19:16+00:00,R70035182,58,certificate-i,clerical-worker,, 9430  4450  6462  2981 ,36,2017-07-22t04:27+00:00,jacquelyn,lassiter,robinson,f,27/12/1962, 1  bronzewing  avenue  howard  river  park , howard  springs ,835.0,nt, 08  4688  9165 ,robinson.jacquelyn@mail.com
rec-16013,c183616148,10, 8160  54015  1  3 ,,120,52,36,76,132,0,cold,2020-07-07t13:27+00:00,R81416368,10,primary-school,,,,0,2020-03-07t17:54+00:00,alvin,jahmar,myers,m,26/07/2010, 98  burraway  road  warrigunya ,brocklehurst,2830.0,nsw, 02  4387  2636 ,myers43@mail.com.au
rec-39350,e101823860,57, 3230  13844  2  2 ,not-married,199,124,31,71,226,0,heart-palpitations,2017-03-06t15:24+00:00,R80218063,60,bachelor-degree,legal-professional,, 1308  9325  5788  3357 ,40,2019-11-15t20:37+00:00,margaret,,davis,f,15/10/1960, 1  oberon  road  montana ,o'connell,2795.0,nsw, 02  9842  8349 ,davis23@mail.com
