ssn,age_at_consultation,medicare_number,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp,current_age,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,rec_id,first_name,middle_name,last_name,gender,birth_date,street_address,suburb,postcode,state,phone,email,calculated_bmi
b146454594,65, 5560  59532  1  2 ,married,173,-99,39,73,166,0,broken-hip,2016-05-17t08:45+00:00,69,bachelor-degree,other-technician,81529.0, 4487  8311  5652  7005 ,38,2008-05-23t12:53+00:00,rec-10110,peter,robert,pfauth,m,03/05/1951, 410  tourist  drive  tanawha  terraces ,tanawha,4556.0,qld, 07  7931  6418 ,peter.pfauth@mail.com,-33.07828527515119
b146454594,65, 5560  59532  1  2 ,married,173,-99,39,73,166,0,broken-hip,2016-05-17t08:45+00:00,66,bachelor-degree,other-technician,81529.0, 4487  8311  5652  7005 ,38,2005-12-20T23:48+00:00,rec-10110,peter,robert,pfauth,m,03/05/1951, 410  tourist  drive  tanawha  terraces ,tanawha,4556.0,qld, 08  6664  4920 ,peter.pfauth@mail.com,-33.07828527515119
i111227535,48, 7175  67548  1  1 ,not-married,191,-99,37,76,177,1,low-energy,2019-10-27t19:27+00:00,49,certificate-i,other-service-worker,40691.57137992197, 7628  6980  5541  9369 ,29,2019-03-25t24:54+00:00,rec-54900,justin,vincent,childers,f,24/10/1971, 6030  clarence  way  lancewood ,baryulgil,2460.0,nsw, 02  0910  0014 ,childers28@hotmail.com,-27.137413996326856
e137404276,13, 5874  17228  2  3 ,divorced,158,-99,26,79,231,0,tendinitis-in-elbow-&-achilles-tendon,2012-02-27t12:42+00:00,21,certificate-ii,health-support-worker,60431.0, 3387  8080  9938  5558 ,2,2020-01-08t11:36+00:00,rec-62491,christopher,r,eaker,m,24/04/1999, 350  st  kilda  road  aprt  241 ,melbourne,3000.0,vic, 03  4727  0439 ,eaker.christopher@mail.com.au,-39.65710623297548
a173587610,55, 9969  76769  1  1 ,separated,193,-99,24,73,227,0,dizziness,2016-01-19t21:34+00:00,59,certificate-i,other-clerical-worker,42159.0, 7019  6216  0791  5355 ,37,2017-03-20t15:32+00:00,rec-36355,philip,vance,gore,m,12/05/1961, 185  senate  road  flt  5 , port  pirie ,5540.0,sa, 08  2797  8396 ,gore73@aol.com,-26.577894708582782
b116932853,10, 7200  26111  1  2 ,married,137,-99,15,71,131,0,headaches,2020-04-26t04:35+00:00,10,primary-school,,-9999.0,,0,2020-07-06t09:09+00:00,rec-17435,tucker,arnold,ennis,f,15/08/2010, 5  harrisons  lane  learning  earth  farm , cardiff  heights ,2285.0,nsw, 02  5271  2719 ,tucker65@mail.com.au,-52.74655016250199
b156567253,13, 7700  65824  1  2 ,married-de-facto,156,-99,29,75,118,0,upper-back-pain,2014-09-07t06:30+00:00,19,certificate-iii,ict-technician,80940.32291567535, 0379  5592  6977  5497 ,0,2020-05-26t06:11+00:00,rec-79786,chester,mitchell,slaughter,f,02/01/2001, 200  danedite  road  green  acres ,weerite,3260.0,vic, 03  7299  4583 ,,-40.68047337278106
f182096808,44, 4901  97339  2  2 ,married,191,-99,20,83,182,1,depression,2018-02-13t02:01+00:00,46,doctoral-degree,general-manager,165754.0, 5984  2165  5593  9437 ,22,2015-10-27t12:31+00:00,rec-29635,brian,david,alphin,m,02/08/1974, 7  way  drive  willow  lodge ,dandenong,3175.0,vic, 03  5533  5951 ,pntkigbeoa@hotmail.com,-27.137413996326856
d197014839,24, 9122  97860  2  3 ,married,172,-99,26,77,191,0,wrist-pain-due-to-rt-corpal-tunnel-symtoms,2016-12-04t18:31+00:00,28,certificate-iv,automotive-worker,65524.0, 3108  2973  0017  8608 ,9,2020-06-15t14:29+00:00,rec-15193,katherine,shirling,morgan,f,27/05/1992, 2  mathew  flinders  street  gove  house ,gove,880.0,nt, 08  4028  5832 ,morgan.katherine@mail.com.au,-33.46403461330449
i166915634,39, 8402  53013  1  1 ,married,183,-99,29,74,129,0,bronchitis,2016-02-12t02:14+00:00,43,certificate-iv,other-worker,61773.0, 9025  7485  5358  2186 ,23,2019-06-20t10:01+00:00,rec-13657,rebecca,jane,holt,f,05/07/1977, 17  strafford  street  seymour  house ,manilla,2346.0,nsw, 02  3690  4125 ,rebecca44@aol.com,-29.56194571351787
e129967486,23, 6152  17556  1  2 ,married,165,-99,39,82,197,0,somnolence,2019-07-07t23:14+00:00,24,advance-diploma,other-technician,133848.0, 2666  9964  3741  9422 ,5,2020-07-07t08:28+00:00,rec-68396,barbara,grace,casper,f,31/10/1996, 985  blayney  road  macarthur  park , evans  plains ,2795.0,nsw, 02  8586  6128 ,barbara.casper@mail.com.au,-36.36363636363637
c143098730,45, 2666  62810  2  2 ,married,174,-99,42,78,144,0,bladder-incontinence,2017-06-26t02:35+00:00,48,senior-secondary-school,other-labourer,15833.0, 5148  2366  9971  4691 ,29,2020-03-09t06:16+00:00,rec-73289,peter,arey,depriest,f,26/11/1972, 159  mulloway  road  teraglin  caravan  park , chain  valley  bay ,2259.0,nsw,,oiecfrmjjt@aol.com,-32.69916765755053
f170582972,30, 8775  81621  1  2 ,not-married,192,-99,20,78,165,0,lightheadedness,2017-12-10t02:02+00:00,33,bachelor-degree,ict-technician,115927.0, 6471  8998  2671  2156 ,14,2020-05-13t19:48+00:00,rec-54504,joy,kathleen,harris,f,08/11/1987, 81  gobolion  street  yarra ,wellington,2820.0,nsw, 02  1903  7321 ,harris.joy@yahoo.com,-26.85546875
h146259832,14, 9776  72349  1  3 ,married,173,-99,18,69,218,1,low-energy,2014-06-23t13:44+00:00,20,bachelor-degree,legal-professional,-9999.0, 9981  8367  7948  5036 ,1,2020-03-27t10:46+00:00,rec-88381,stephen,braxton,mullins,f,12/07/2000, 4  ak  road  gothaire ,kingsthorpe,4400.0,qld, 07  7800  2536 ,stephen.mullins@mail.com.au,-33.07828527515119
a156657185,57, 7743  38929  1  2 ,divorced,181,-99,36,76,238,0,redness-around-lumbar-puncture-site.,2015-02-27t01:18+00:00,62,graduate-diploma,legislator,127338.6099755306, 7887  5550  6749  9265 ,40,2017-10-07t17:56+00:00,rec-71255,roger,jamaine,michael,f,03/02/1958, 15  baker  street  spring  street , spring  hill ,2800.0,nsw, 02  3585  4315 ,michael.roger@hotmail.com,-30.218857788223804
g124912975,14, 5455  92478  2  3 ,not-married,158,-99,21,69,193,0,drowsiness,2015-05-05t19:16+00:00,19,certificate-iv,other-worker,84802.0, 2316  6852  2236  3417 ,0,2020-02-02t20:06+00:00,rec-76493,jesse,franklin,klingmann,f,24/04/2001, 63  nelson  drive  burlington  garden ,dilston,7252.0,tas, 03  0947  1915 ,jnisjlcqnr@aol.com,-39.65710623297548
c155638184,8, 5348  29633  1  2 ,married,121,-99,19,77,231,0,rash-(superficial-perivascular-dermatitis)---left-wrist,2015-07-05t22:58+00:00,13,secondary-school,,0.0,,0,2020-04-19t20:28+00:00,rec-70398,larry,kirk,wade,f,15/09/2007, 16  picaroon  place  port  mandurah  canal  estate , halls  head ,6210.0,wa, 08  3651  2403 ,larry50@mail.com,-67.618332081142
g130975671,23, 3254  20710  1  2 ,not-married,187,-99,17,81,174,1,posterior-subcapsular-cataract-in-right-eye-and-related-progressively-worsening-vision-(to-right-eye-only)-that-does-not-interfere-with-daily-activities.,2018-01-11t05:21+00:00,25,certificate-ii,other-service-worker,45381.0, 5686  4663  7820  6898 ,6,2020-03-21t23:43+00:00,rec-69082,joseph,geoffrey,rose,m,24/04/1995, 1  windmill  road  rum  jungle ,batchelor,845.0,nt, 08  9575  2487 ,,-28.310789556464293
b160719443,25, 9916  25004  2  2 ,married,167,-99,30,66,250,0,leg-muscle-cramps,2016-06-08t24:26+00:00,29,diploma,other-worker,99241.0, 9066  4862  7401  5993 ,6,2016-05-24t06:57+00:00,rec-95044,thurman,david,corbitt,f,23/08/1991, 452  bridgenorth  road  fernbrook ,legana,7277.0,tas, 03  2807  0919 ,corbitt.thurman@aol.com,-35.49786654236437
f120735168,25, 4364  41208  2  2 ,married,195,-99,35,72,149,0,ankle-swelling/edema,2015-08-20t19:15+00:00,30,senior-secondary-school,other-clerical-worker,-9999.0, 8265  8191  2389  8800 ,7,2016-11-03t13:09+00:00,rec-37611,donald,danner,duvall,m,21/02/1990, 17  university  avenue  palm  plaza ,palmerston,830.0,nt, 08  7915  7205 ,duvall.donald@mail.com.au,-26.035502958579883
a105768490,5, 2646  56205  1  2 ,married,100,-99,19,74,103,0,paroxysmal-atrial-fibrillation,2020-02-23t19:38+00:00,5,pre-school,,-2561.5472998393834,,0,2020-07-13t01:41+00:00,rec-3226,sallee,lindsey,tinney,m,11/06/2015, 29  old  dubbo  road  gleneira ,dubbo,2830.0,nsw, 02  2271  6225 ,sallee.tinney@gmail.com,-99.0
e198789899,53, 2173  70314  2  1 ,married,170,-99,37,69,134,0,left-thumb-pain,2014-10-05t21:52+00:00,59,graduate-certificate,manager,178448.0, 1720  9147  7377  5547 ,40,2020-04-08t15:04+00:00,rec-95403,steven,dwayne,gbidi,f,22/02/1961, 1  ra  road  heritage  caravan  park , alice  springs ,870.0,nt, 03  0319  3227 ,gbidi52@mail.com.au,-34.256055363321806
c140820817,60, 3663  28306  2  2 ,married,169,-99,46,65,200,0,post-op-pain,2015-10-08t08:36+00:00,65,certificate-iii,other-technician,143334.0, 8610  0614  8047  8294 ,43,2017-05-09t01:57+00:00,rec-33978,james,antonio,howell,m,04/03/1955, 85  hester  street  cambrai  village ,merriwa,6030.0,wa, 08  3887  7954 ,james.howell@aol.com,-34.6626518679318
e197849398,66, 1384  24788  1  2 ,not-married,180,-99,31,74,121,1,neck-pain,2019-12-22t22:58+00:00,67,secondary-school,farm-worker,18866.0, 9584  3089  4171  8960 ,48,2020-06-15t22:24+00:00,rec-6780,kathleen,kristen,bull,m,30/05/1953, 83  mountain  view  road  range  view ,yarrawonga,2850.0,nsw, 02  7213  8859 ,bull.kathleen@aol.com,-30.555555555555554
d145128682,14, 6542  65839  2  3 ,not-married,158,-99,19,76,164,0,left-elbow-and-wrist-pain,2017-02-06t11:41+00:00,17,senior-secondary-school,casual-worker,0.0, 2221  3696  2384  9319 ,2,2020-06-20t04:15+00:00,rec-2659,augusta,williams,radford,f,10/09/2003, 100  howey  street  weeroona ,gisborne,3437.0,vic, 03  5550  1722 ,radford.augusta@yahoo.com,-39.65710623297548
d158368117,46, 6752  96586  1  2 ,married,180,-99,37,74,193,0,shortness-of-breath,2017-11-11t02:38+00:00,49,bachelor-degree,ict-professional,144906.0, 2403  7338  6848  3444 ,17,2007-04-20t03:43+00:00,rec-72612,roy,soter,lawson,f,03/06/1971, 250  baltimore  parade  raafa  estate ,merriwa,6030.0,wa, 08  7814  6187 ,lawson6@hotmail.com,-30.555555555555554
i110675637,46, 9073  74182  2  1 ,married-de-facto,199,-99,28,76,237,0,lesion,2017-05-14t12:02+00:00,49,doctoral-degree,chief-executive,138247.0, 2221  1310  6756  8345 ,26,2016-02-20t07:24+00:00,rec-86320,larry,thomas,fristoe,f,05/10/1971, 78  davies  road  halcyon , lower  snug ,7054.0,tas, 03  1183  6213 ,dqrhjjekkg@aol.com,-24.999368702810536
f115090529,25, 3340  88581  2  2 ,married,183,-99,24,70,150,0,bilateral-buttock-pain,2016-02-26t19:51+00:00,31,diploma,other-technician,149308.0, 3737  0336  5964  4170 ,12,2020-07-18t24:51+00:00,rec-43242,michael,lee,robinson,f,30/06/1989, 6  empire  bay  drive  samaldo  caravan  park , empire  bay ,2257.0,nsw, 07  1265  2548 ,michael53.mail.com,-29.56194571351787
c113236824,65, 4796  21718  1  2 ,married,179,-99,22,78,126,0,fall,2014-04-04t07:01+00:00,71,diploma,ict-technician,146855.0, 4244  1809  2718  2591 ,51,2019-03-24t20:22+00:00,rec-44050,melissa,elizabeth,greenlee,f,13/07/1949, 80  queen  street  the  specialist  centre ,campbelltown,2560.0,nsw,,melissa.greenlee@mail.com,-30.8979120501857
g199655129,9, 4566  70572  2  2 ,married,140,-99,14,71,241,0,glaucoma,2015-06-09t18:02+00:00,14,secondary-school,,0.0,,0,2020-03-09t23:46+00:00,rec-74647,anthony,rackley,stutts,f,01/07/2006, 1  neptune  street  bonner  court ,woden,2606.0,act, 02  7573  3110 ,anthony58@hotmail.com,-50.51020408163266
h143659381,64, 3356  11400  1  2 ,married,171,-99,27,77,193,0,low-energy,2018-09-05t02:47+00:00,66,bachelor-degree,ict-technician,87007.261815026, 3102  9559  9444  9754 ,41,2014-10-03t08:52+00:00,rec-14411,caroline,joann,fields,f,09/08/1954, 15  victoria  avenue  broadbeach  central  mall ,broadbeach,4218.0,qld, 07  7520  7791 ,caroline.fields@yahoo.com,-33.856571252693136
e191090774,6, 8555  25423  2  2 ,married,117,-99,19,79,162,0,cramping,2012-11-20t21:34+00:00,14,secondary-school,,6714.114362243852,,0,2020-06-08t24:31+00:00,rec-30865,johnny,frank,travers,m,07/08/2006, 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld, 07  9678  9166 ,travers29.gmail.com,-72.3208415516108
g180915572,21, 8924  37654  2  3 ,married,183,-99,20,74,171,0,oral-fungus-(inside-lips),2018-06-26t20:07+00:00,26,secondary-school,looking-for-employment,2057.0, 5614  9002  3135  3513 ,7,2020-07-23t11:55+00:00,rec-65677,elizabeth,blanton,breen,f,28/06/1994, 21  kirkham  road  morton  park ,belgrave,3160.0,vic, 03  9379  0728 ,geolrdbqgr@gmail.com,-29.56194571351787
g127162592,9, 5882  76531  1  3 ,married,125,-99,17,76,270,0,perforated-ear-drum-(l)-ear-with-development-of-blood-clot,2015-05-25t12:26+00:00,14,secondary-school,,0.0,,0,2020-06-15t06:24+00:00,rec-56563,dilara,esther,fox,m,06/10/2006, 425  toorak  road  flt  16 ,toorak,3073.0,vic, 03  8061  5274 ,fox15@gmail.com,-63.36
b172499731,5, 2511  84212  1  2 ,married,107,-99,17,71,158,0,bronchitis,2020-07-14t09:40+00:00,5,pre-school,,0.0,,0,2020-06-24t15:48+00:00,rec-47827,randy,w,gibson,f,27/05/2015, 7  amiens  avenue  wisspering  pine , derwent  park ,7009.0,tas, 03  8147  5764 ,gibson80@hotmail.com,-86.47043409904795
e190266533,21, 5729  43206  1  2 ,not-married,175,-99,33,71,152,1,nausea,2014-01-02t20:20+00:00,27,senior-secondary-school,construction-labourer,19061.0, 9427  8767  2396  1214 ,5,2017-10-07t15:54+00:00,rec-25291,josephine,judd,baker,f,20/11/1993, 12  cooreena  road  springfield ,dubbo,2830.0,nsw, 02  4396  7076 ,fjkmfadlsn@aol.com,-32.326530612244895
h140556460,49, 3818  52464  2  2 ,married,187,-99,24,72,203,0,cries,2018-06-02t06:06+00:00,51,certificate-iii,ict-technician,75617.0, 8163  2105  9900  3086 ,30,2018-10-07t03:56+00:00,rec-75743,raymond,calvin,carroll,f,09/09/1969, 1  clark  place  gleneagles  est ,kambah,2902.0,act, 02  4497  3345 ,raymond.carroll@mail.com.au,-28.310789556464293
g143675463,59, 5244  96427  1  1 ,married,192,-99,38,87,163,0,emphysema,2017-04-26t23:17+00:00,60,masters-degree,legal-professional,94714.0, 1092  5097  2107  2002 ,43,2018-03-06T17:43+00:00,rec-70095,bradley,eugene,price,f,04/04/1958, 240  mitchell  road  lucivale , wagga  wagga ,,nsw, 07  9474  9732 ,bradley.price@gmail.com,-26.85546875
g143675463,59, 5244  96427  1  1 ,married,192,-99,38,87,163,0,emphysema,2017-04-26t23:17+00:00,62,masters-degree,legal-professional,88178.30876469347, 1092  5097  2107  2002 ,43,2020-07-09t07:19+00:00,rec-70095,bradley,eugene,price,f,04/04/1958, 240  mitchell  road  lucivale , wagga  wagga ,2650.0,nsw, 02  8373  7575 ,bradley.price@gmail.com,-26.85546875
a154233304,14, 5904  24674  2  3 ,married,167,-99,29,78,96,0,chest-pain,2019-04-06t10:31+00:00,15,secondary-school,,-9999.0,,0,2020-05-05t17:21+00:00,rec-52220,tanya,c,atkins,f,13/02/2005, 105  ridgeway  avenue  villas  on  the  park ,southport,4215.0,qld, 07  1224  9348 ,atkins6@gmail.com,-35.49786654236437
i172020403,48, 8620  77066  2  1 ,divorced,186,-99,31,75,129,0,diarrhea,2015-05-13t13:07+00:00,53,certificate-i,carer,34030.0, 5161  4235  1633  2440 ,34,2020-05-17t14:52+00:00,rec-62324,lillie,marie,gills,f,13/02/1967, 26  main  beach  parade  ocean  park  towers , main  beach ,2487.0,qld, 02  5904  6986 ,kjdskdsnpl@mail.com,-28.61602497398543
a157452906,50, 1440  26772  2  2 ,married,190,-99,34,76,159,0,crying,2017-04-17t01:40+00:00,53,graduate-diploma,general-manager,191875.0, 1493  9076  1740  1319 ,34,2020-05-24t15:48+00:00,rec-1750,laurie,f,cowand,f,29/05/1967, 12  hermitage  street  sjog  specialist  centre ,geraldton,6530.0,wa, 08  0688  6795 ,laurie41@mail.com.au,-27.423822714681442
a130126387,35, 5374  75944  2  2 ,married,166,-99,50,80,240,0,low-energy,2015-08-09t02:38+00:00,40,certificate-i,personal-services-worker,52803.0, 1287  2213  8637  4750 ,21,2020-01-02t20:22+00:00,rec-98606,coy,trent,jordan,f,09/03/1980, 95  springs  road  the  dunes  resort , sussex  inlet ,2540.0,nsw, 02  1636  1206 ,jordan60@yahoo.com,-35.9268398896792
a137280958,63, 7293  44015  1  1 ,married-de-facto,170,-99,26,76,188,0,urinary-tract-infection,2013-10-13t15:15+00:00,70,secondary-school,casual-worker,-11634.0001831124, 4148  2836  1113  6486 ,50,2019-02-06t18:04+00:00,rec-2286,pauline,oxidine,godley,m,14/02/1950, 6  leichhardt  terrace  leichtodd  plaza , alice  springs ,870.0,nt, 07  1933  0630 ,pgitldihbf@mail.com,-34.256055363321806
c178431750,61, 3190  67195  2  1 ,married-de-facto,186,-99,20,70,213,0,shotness-of-breath-on-exertion,2016-05-07t06:55+00:00,65,graduate-diploma,manager,131389.0, 8831  6230  0229  0537 ,46,2020-06-03t16:55+00:00,rec-23976,george,eugene,lewis,m,22/04/1955, 26  mitchell  street  mallam  chambers ,darwin,810.0,nt, 08  5637  2671 ,george30@hotmail.com,-28.61602497398543
b199212373,57, 2635  91510  1  2 ,divorced,176,-99,31,74,188,1,insomnia,2014-02-18t19:28+00:00,63,certificate-iii,construction-worker,83126.0, 6478  0420  1609  6294 ,44,2020-05-04t06:55+00:00,rec-91110,terry,wilder,helms,f,22/12/1957, 8  wilderness  way  travellers  retreat ,hadspen,7290.0,tas, 03  8143  0971 ,terry.helms@mail.com,-31.960227272727273
a172421698,55, 1689  20392  2  2 ,not-married,173,-99,20,76,136,0,dry-eyes,2016-04-16t03:33+00:00,59,certificate-ii,construction-worker,62338.0, 4316  1736  7761  5107 ,40,2020-07-27t17:41+00:00,rec-47191,michael,lee,simonds,m,25/06/1961, 105  punt  road  masonic  court ,windsor,3181.0,vic, 03  2597  3771 ,michael33@hotmail.com,-33.07828527515119
h141737845,51, 7180  19288  1  1 ,married,194,-99,27,76,189,0,depressive-symptoms,2015-10-19t22:09+00:00,56,certificate-iv,automotive-worker,97274.0, 4766  7970  2158  7434 ,37,2020-07-22t06:21+00:00,rec-271,steven,andrew,mcafee,m,08/09/1964, 1  allambee  street  argyle  square ,reid,2612.0,act, 02  0771  9397 ,fbbkseildb@aol.com,-26.304601976830696
a140506811,11, 9598  33960  1  2 ,married,126,-99,23,70,107,0,fall,2019-01-18t16:17+00:00,12,secondary-school,,-9999.0,,0,2020-07-08t20:46+00:00,rec-33986,trevor,terell,mont,m,02/05/2008, 1  barrett  drive  floreat  village , alice  springs ,870.0,nt, 08  6377  4552 ,mqrgrdkoec@gmail.com,-62.358276643990926
a122331139,53, 5599  33139  1  1 ,not-married,195,-99,17,75,212,0,dizziness/orthostatic-hypotension,2017-10-07t16:01+00:00,56,graduate-certificate,ict-professional,82166.0, 9766  1757  1342  1289 ,25,2008-08-16t23:25+00:00,rec-72530,eldon,w,evans,f,22/11/1964, 779  coopers  road  paringa ,bamganie,3333.0,vic, 03  2781  2806 ,eldon6@yahoo.com,-26.035502958579883
e162006857,64, 9979  18479  1  2 ,not-married,199,-99,17,75,114,0,sweating,2012-01-06t07:29+00:00,72,certificate-ii,engineering-worker,58921.46137588638, 3722  1532  3956  0936 ,50,2017-06-12t16:29+00:00,rec-84181,nestor,myers,foy,f,28/08/1948, 1014  glencoe  road  sylbie  white  suffolk  stud  pindari ,bell,4408.0,qld, 07  8386  8288 ,foy11@yahoo.com,-24.999368702810536
e186251043,13, 2156  74651  1  2 ,not-married,144,-99,33,70,153,0,fall,2017-10-20t12:52+00:00,16,senior-secondary-school,casual-worker,0.0, 1177  4085  6091  0224 ,3,2020-02-15t24:18+00:00,rec-27082,raheem,brandon,anderson,m,06/03/2004, 529  rawdon  island  road  bindaree , rawdon  island ,2446.0,nsw, 02  6515  4299 ,anderson.raheem@mail.com,-47.74305555555556
d106414199,62, 3131  97063  2  2 ,married,185,-99,21,70,200,1,nocturnal-leg-cramps,2013-09-20t07:39+00:00,69,certificate-iii,ict-technician,89786.0, 1097  9534  3033  7186 ,49,2019-09-03t02:26+00:00,rec-37211,ronald,craig,mccorkle,m,14/12/1951, 17  isabella  street  alma  downs ,mitchell,4465.0,qld, 07  6743  0918 ,mccorkle2@mail.com,-28.926223520818112
f138225384,54, 1222  16734  1  2 ,married,187,-99,19,71,220,1,total-knee-replacement,2017-12-27t04:41+00:00,57,certificate-i,health-support-worker,63693.0, 8052  1516  9201  2129 ,35,2017-08-23t22:38+00:00,rec-56923,florence,venice,faile,f,13/02/1963, 45  elgin  street  unt  3 ,maitland,2320.0,nsw, 02  1284  1041 ,tgmnekjach@hotmail.com,-28.310789556464293
e125688661,12, 9292  64400  1  3 ,married,173,-99,17,71,184,0,increased-seasonal-allergies,2013-02-20t17:03+00:00,22,secondary-school,casual-worker,-9999.0, 0643  9437  1374  3617 ,3,2020-03-05t16:03+00:00,rec-74744,terry,donell,crawford,f,19/04/1998, 154  fishburn  place  kincumber  nautical  vlge , kincumber  south ,2251.0,nsw, 02  8304  9158 ,terry.crawford.hotmail.com,-33.07828527515119
e169818941,18, 1146  88748  1  3 ,married,177,-99,19,74,170,0,nasal-drip,2014-02-17t08:58+00:00,24,certificate-ii,carer,69559.0, 9021  9764  2226  2829 ,5,2020-04-01t05:06+00:00,rec-9540,helen,l,briggs,f,22/06/1996, 20  mahoneys  road  gillum  park ,warrnambool,3280.0,vic, 03  6912  0632 ,briggs.helen@aol.com,-31.600114909508758
c192083135,62, 8742  63089  1  2 ,divorced,177,-99,37,69,195,0,squamous-cell-carcinoma-bilateral-forearms,2013-07-20t07:19+00:00,69,senior-secondary-school,clerks,34621.0, 6334  5661  9020  4509 ,50,2020-06-15t20:53+00:00,rec-96295,kwan-ki,russell,bauer,f,08/10/1951, 69  fassifern  street  ettalong  vlge ,ettalong,4116.0,nsw, 07  7993  9132 ,oaakpjjnio@mail.com,-31.600114909508758
c114976385,20, 4330  67055  2  2 ,not-married,190,-99,18,78,80,0,constipation,2017-10-24t23:49+00:00,23,certificate-iv,other-technician,142576.0, 1936  9589  1788  2040 ,4,2020-03-03t23:21+00:00,rec-11786,jennefer,mae,creed,f,06/08/1997, 39  walton  street  murrungundie ,cowes,3922.0,vic, 03  8691  7783 ,dprjckheof@mail.com,-27.423822714681442
