ssn,age_at_consultation,medicare_number,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp,current_age,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,rec_id,first_name,middle_name,last_name,gender,birth_date,street_address,suburb,postcode,state,phone,email
d184855585,5, 7349  76226  1  3 ,married,104,-99,20,74,196,0,dental-implants,2020-06-16t10:09+00:00,5,pre-school,,0.0,,0,2020-07-24t21:36+00:00,rec-62918,renee,narron,rothman-webster,m,27/02/2015, 15  jubilee  avenue  jubilee  garden ,broadbeach,4218.0,qld, 07  1510  4768 ,rothman-webster.renee@aol.com
d122324390,9, 3316  12494  1  2 ,not-married,125,-99,26,73,71,0,weakness-in-legs,2015-10-03t18:46+00:00,16,senior-secondary-school,casual-worker,0.0, 3447  9859  4466  0224 ,3,2020-03-10t01:50+00:00,rec-49350,michael,travis,wilson,m,09/07/2004, 69  penshurst-byaduk  road  terama ,gazette,4670.0,vic, 07  4706  0738 ,
a139212004,27, 7205  89838  1  1 ,married,195,58,15,74,191,0,left-leg-pain-radiating-to-left-foot,2016-01-02t23:45+00:00,30,certificate-i,clerks,44208.0, 8816  4210  8404  0946 ,14,2017-07-06T24:19+00:00,rec-9966,michael,olajuwon,fils-aime,m,13/09/1987, 28  dunlin  drive  sherwood  south , burleigh  waters ,2042.0,qld, 07  5511  9061 ,michael72.aol.com
i114213227,12, 1508  52901  1  3 ,married,138,37,19,69,149,0,sinusitis,2017-12-26t02:24+00:00,15,secondary-school,,0.0,,0,2020-04-17t15:09+00:00,rec-54729,herman,rochene,diacumakos,m,21/03/2005, 411  turner  street  specialist  consulting  rooms , bacchus  marsh ,3340.0,vic, 03  7559  0722 ,qrjafnphph@yahoo.com
h152523249,16, 3599  31065  2  2 ,not-married,165,88,32,72,107,0,tripped-over-object-and-fell,2019-11-13t15:58+00:00,17,senior-secondary-school,casual-worker,0.0, 8173  1804  3626  2758 ,2,2020-05-02t20:03+00:00,rec-98555,hobert,lawrence,wilson,m,11/03/2003, 565  lorne  road  wormbete ,winchelsea,3241.0,vic, 03  4825  3018 ,hobert.wilson@hotmail.com
d118385247,7, 3289  78674  1  3 ,married,119,25,17,77,157,0,chest-pain-on-exercise,2020-04-18t17:51+00:00,7,primary-school,,-4182.868116006597,,0,2020-02-23t03:13+00:00,rec-80658,steven,brandon,shepard,f,15/09/2013, 9  the  esplanade  bridgeport ,darwin,800.0,nt, 08  2303  2262 ,steven70@hotmail.com
d118385247,7, 3289  78674  1  3 ,married,119,25,17,77,157,0,chest-pain-on-exercise,2020-04-18t17:51+00:00,7,primary-school,,0.0,,0,2020-02-23t03:13+00:00,rec-80658,steven,brandon,shepard,f,15/09/2013, 9  the  esplanade  bridgeport ,darwin,800.0,nt, 08  2303  2262 ,steven70@hotmail.com
d129558813,10, 1544  69752  1  2 ,married,137,51,27,66,121,0,low-energy,2015-04-08t23:08+00:00,15,secondary-school,,0.0,,0,2020-02-22t09:02+00:00,rec-63611,william,patrick,black,m,01/11/2005, 68  chatham  avenue  taree  medical  centre ,taree,2600.0,nsw, 02  3786  2031 ,black.william@hotmail.com
a196450076,10, 4631  86567  1  2 ,married,125,50,32,77,122,0,left-lower-arm-abrasions,2015-04-03t07:03+00:00,15,secondary-school,,0.0,,0,2020-03-19t18:08+00:00,rec-70076,bruce,taylor,davis,f,31/12/2005, 1  opal  field  road  sheepyard ,grawin,2832.0,nsw, 02  7040  5155 ,davis29@hotmail.com
f164542311,7, 6320  69157  2  3 ,married,122,26,17,77,121,0,hallucination,2020-05-15t02:15+00:00,7,primary-school,,-9999.0,,0,2020-07-23t01:40+00:00,rec-76164,johnny,tal,watkins,f,16/02/2013, 280  north  street  st  andrew's  hospital ,toowoomba,4350.0,qld, 07  5833  9947 ,watkins.johnny@gmail.com
d169304355,8, 8215  46426  1  2 ,married,122,28,18,76,142,0,muscloskeletal-pain,2020-03-16t03:26+00:00,8,primary-school,,-2143.558576511301,,0,2020-04-04t06:06+00:00,rec-35988,ronald,t,weddle,m,13/12/2012, 3  stokes  road  clifton  waters ,bairnsdale,3875.0,vic, 03  8709  1114 ,weddle.ronald@mail.com.au
b183007201,9, 8309  26176  2  2 ,not-married,122,41,27,81,183,0,iatrogenic-right-lower-extremity-bleeding,2012-05-09t19:13+00:00,17,senior-secondary-school,casual-worker,0.0, 6023  2972  2263  4140 ,2,2020-03-07t17:20+00:00,rec-84387,jonathan,lee,williams,f,03/09/2003, 56  logue  court  tipperary  farming  entrance ,walkaway,6528.0,wa, 08  8320  9683 ,bktmnktihd@aol.com
c173363388,12, 6752  10870  1  3 ,not-married,150,67,29,77,178,0,chronic-diverticulitis,2015-12-17t19:29+00:00,17,senior-secondary-school,casual-worker,0.0, 1550  5134  5804  9617 ,2,2020-03-05t02:36+00:00,rec-66826,glynn,edward,scott,m,12/10/2003, 1  sawpit  gully  road  bridge  creek  street ,mansfield,3284.0,vic, 03  1832  6248 ,glynn89@gmail.com
i191834916,19, 9045  10204  1  3 ,married-de-facto,168,103,36,75,90,0,parkinson's-disease,2018-07-16t14:14+00:00,17,certificate-iv,ict-technician,77308.78189367111, 5583  2118  0764  8570 ,2,2016-04-25T20:45+00:00,rec-81230,shawn,graeme,mcneill,f,05/02/1999, 123  willandra  road  villa  14 ,cromer,2099.0,nsw, 02  0221  7696 ,mcneill.shawn@gmail.com
b116932853,10, 7200  26111  1  2 ,married,137,-99,15,71,131,0,headaches,2020-04-26t04:35+00:00,10,primary-school,,-9999.0,,0,2020-07-06t09:09+00:00,rec-17435,tucker,arnold,ennis,f,15/08/2010, 5  harrisons  lane  learning  earth  farm , cardiff  heights ,2285.0,nsw, 02  5271  2719 ,tucker65@mail.com.au
h169947662,13, 7964  45893  1  3 ,not-married,153,73,31,80,181,0,shortness-of-breath,2015-01-03t12:03+00:00,18,senior-secondary-school,casual-worker,0.0, 5077  3266  4781  0843 ,1,2020-03-21t08:30+00:00,rec-33828,johnny,johannes,harris,m,14/04/2002, 102  crown  street  wollongong  mall ,wollongong,2250.0,nsw, 02  6294  0405 ,harris79@mail.com
f148647908,9, 2239  22986  2  2 ,married,140,26,13,74,222,0,urinary-tract-infection,2017-06-07t08:25+00:00,12,secondary-school,,8333.954007735396,,0,2020-04-07t03:03+00:00,rec-74009,scott,thoreau,jackson,f,18/06/2008, 7  narromine  street  kirribili ,nevertire,2831.0,nsw, 02  8005  1462 ,scott98@hotmail.com
e197439950,13, 2828  46459  2  2 ,not-married,153,44,18,73,207,0,arthralgia-pain.-5th-mcp-joint,2017-04-22t17:12+00:00,16,senior-secondary-school,casual-worker,0.0, 9523  9363  7800  6112 ,3,2020-06-05t20:53+00:00,rec-99795,anthony,j,elkins,f,27/11/2004, 1  neptune  street  bonner  court ,woden,2606.0,act, 02  8871  9575 ,anthony.elkins@yahoo.com
b185061485,25, 9224  30285  2  3 ,married-de-facto,175,112,36,73,151,1,left-knee-pain,2017-01-25t21:01+00:00,24,certificate-iii,automotive-worker,-9999.0, 0529  7174  7038  4837 ,7,2014-06-20T10:41+00:00,rec-68448,eugenia,c,harris,f,23/01/1992, 53  binalong  road  mayflower  village , pendle  hill ,2145.0,nsw, 02  3809  5233 ,harris25@aol.com
i131083951,58, 1915  62786  2  1 ,not-married,168,64,22,73,300,1,history-of-falling.,2013-07-22t02:09+00:00,62,doctoral-degree,art-media-professional,80755.0, 7597  6665  2884  0208 ,46,2017-11-11T15:15+00:00,rec-30437,george,rudolph,mcallister,m,29/11/1955, 289  richardson  road  scotvale  medical  centre , north  rockhampton ,4701.0,qld, 07  6501  0927 ,george.mcallister@yahoo.com
a121103788,11, 2442  62171  2  2 ,not-married,140,39,19,74,196,0,low-energy,2015-12-19t14:59+00:00,16,senior-secondary-school,casual-worker,-4011.458046751021, 9954  0424  1198  3095 ,3,2020-06-01t03:14+00:00,rec-90023,anthony,michael,hawkins,f,13/08/2004, 341  crown  street  piccadilly  centre ,wollongong,2500.0,nsw, 02  6810  0914 ,hawkins4@hotmail.com
a138892393,9, 3803  10084  2  3 ,not-married,131,32,18,71,102,0,drowsiness,2013-08-13t03:11+00:00,16,senior-secondary-school,casual-worker,-9999.0, 4020  0380  8663  0105 ,3,2020-06-17t14:36+00:00,rec-89421,edmond,lamont,hart,f,25/08/2004, 25  davistown  road  alloura  waters  retirement  vlge  (cnr  murn ,davistown,2251.0,nsw, 02  6027  7329 ,jjggocabnt@mail.com
g105647738,15, 7459  13342  2  3 ,not-married,164,70,26,74,141,0,tremor,2018-06-19t06:52+00:00,17,senior-secondary-school,casual-worker,0.0, 5380  2379  0600  3206 ,2,2020-06-27t02:42+00:00,rec-93999,edward,mccoy,parker,f,19/07/2003, 89  grevillea  court  tarcoola ,shepparton,3630.0,vic, 03  5616  3840 ,edward.parker@hotmail.com
h191899686,11, 4527  28459  2  3 ,not-married,144,44,21,72,215,0,rash,2015-05-10t08:57+00:00,16,senior-secondary-school,casual-worker,0.0, 2035  6181  2258  7404 ,3,2020-04-11t12:57+00:00,rec-94231,robert,dewane,cannady,f,13/02/2004, 64  smith  street  manolas  bldg ,darwin,800.0,nt, 08  8470  1257 ,gldnhqblig@gmail.com
a127218085,8, 1436  61262  2  2 ,not-married,127,39,24,72,148,0,bruising-at-site-of-lumbar-puncture,2012-05-04t02:01+00:00,16,senior-secondary-school,casual-worker,-9999.0, 8725  2470  2841  0394 ,3,2020-04-11t11:03+00:00,rec-9035,william,greg,smith,f,04/04/2004, 1  honeysuckle  drive  wyneden , blackmans  bay ,7052.0,tas,,smith56@aol.com
c155638184,8, 5348  29633  1  2 ,married,121,-99,19,77,231,0,rash-(superficial-perivascular-dermatitis)---left-wrist,2015-07-05t22:58+00:00,13,secondary-school,,0.0,,0,2020-04-19t20:28+00:00,rec-70398,larry,kirk,wade,f,15/09/2007, 16  picaroon  place  port  mandurah  canal  estate , halls  head ,6210.0,wa, 08  3651  2403 ,larry50@mail.com
d135912598,12, 1953  71746  2  3 ,not-married,155,47,19,73,188,0,hypothyroidism,2016-03-19t04:19+00:00,16,senior-secondary-school,casual-worker,-1518.5096416649994, 6170  6081  6574  5941 ,3,2020-06-20t08:58+00:00,rec-7460,cynthia,mcmasters,johnson,f,03/09/2004, 60  waratah  way  melrose  clinic ,wodonga,3690.0,vic, 02  5026  4548 ,cynthia71@yahoo.com
d135912598,12, 1953  71746  2  3 ,not-married,155,47,19,73,188,0,hypothyroidism,2016-03-19t04:19+00:00,13,senior-secondary-school,casual-worker,-9999.0, 6170  6081  6574  5941 ,3,2017-03-27T08:32+00:00,rec-7460,cynthia,mcmasters,johnson,f,03/09/2004, 60  waratah  way  melrose  clinic ,wodonga,3690.0,vic, 02  5026  4548 ,cynthia71@yahoo.com
c190887321,9, 1392  64847  2  2 ,not-married,147,37,17,71,217,0,dry-mouth,2016-12-01t23:14+00:00,16,senior-secondary-school,casual-worker,0.0, 9365  5541  9560  6696 ,3,2020-02-09t06:04+00:00,rec-19426,donna,b,hicks,m,22/06/2004, 23  maleela  avenue  balwyn  manor ,balwyn,3103.0,vic, 03  2273  1866 ,obtfcsrrgg.aol.com
a105768490,5, 2646  56205  1  2 ,married,100,-99,19,74,103,0,paroxysmal-atrial-fibrillation,2020-02-23t19:38+00:00,5,pre-school,,-2561.5472998393834,,0,2020-07-13t01:41+00:00,rec-3226,sallee,lindsey,tinney,m,11/06/2015, 29  old  dubbo  road  gleneira ,dubbo,2830.0,nsw, 02  2271  6225 ,sallee.tinney@gmail.com
g152392117,23, 4182  52779  2  3 ,married-de-facto,193,111,29,72,110,0,low-energy,2017-08-08t21:45+00:00,23,graduate-diploma,legal-professional,114589.0, 2038  0375  2413  6098 ,7,2017-02-22T22:36+00:00,rec-96262,drew,phillip,earley,m,04/05/1994, 19  lake  street  courtlands , north  parramatta ,2151.0,nsw, 03  0086  1275 ,earley2@gmail.com
b137304968,6, 1275  41942  2  3 ,married,128,26,15,75,187,0,acute-diverticulitis,2012-02-19t20:37+00:00,15,secondary-school,,0.0,,0,2020-05-22t24:54+00:00,rec-35157,kenneth,smith,sommers,m,21/05/2005, 170  common  road  dangaroo  park ,mudgee,2625.0,nsw, 02  7869  8414 ,kenneth.sommers.aol.com
d145128682,14, 6542  65839  2  3 ,not-married,158,-99,19,76,164,0,left-elbow-and-wrist-pain,2017-02-06t11:41+00:00,17,senior-secondary-school,casual-worker,0.0, 2221  3696  2384  9319 ,2,2020-06-20t04:15+00:00,rec-2659,augusta,williams,radford,f,10/09/2003, 100  howey  street  weeroona ,gisborne,3437.0,vic, 03  5550  1722 ,radford.augusta@yahoo.com
d143805759,37, 3955  23920  1  1 ,married,179,81,25,72,119,0,back-pain,2015-06-27t06:37+00:00,39,certificate-iii,engineering-worker,63424.0, 9665  9441  1828  0795 ,23,2017-03-13T03:03+00:00,rec-86774,albert,hugo,lofton,f,29/09/1978, 497  bexhill  road  boatharbour  street ,goonellabah,2354.0,nsw, 02  4232  4176 ,lofton7@gmail.com
e109075830,5, 2112  66052  1  2 ,married,110,27,22,78,278,0,basal-cell---nose---l-side,2014-03-18t01:26+00:00,13,secondary-school,,0.0,,0,2020-06-02t13:28+00:00,rec-75735,bobby,keith,barnes,f,17/02/2007, 5  allamurr  court  dunbar  heights ,palmerston,830.0,nt, 08  3038  1252 ,bobby85.gmail.com
g135643468,10, 2516  80122  1  3 ,married,127,38,23,78,177,0,constipation,2019-03-27t24:06+00:00,11,primary-school,,-205.4500979783716,,0,2020-02-09t21:40+00:00,rec-59190,winifred,sun,krause,f,05/10/2009, 26  mitchell  street  mallam  chambers ,darwin,800.0,nt, 08  8149  7779 ,winifred.krause@mail.com.au
g199655129,9, 4566  70572  2  2 ,married,140,-99,14,71,241,0,glaucoma,2015-06-09t18:02+00:00,14,secondary-school,,0.0,,0,2020-03-09t23:46+00:00,rec-74647,anthony,rackley,stutts,f,01/07/2006, 1  neptune  street  bonner  court ,woden,2606.0,act, 02  7573  3110 ,anthony58@hotmail.com
c133651921,10, 7232  64736  1  3 ,not-married,136,54,29,80,119,0,enlarged-prostate,2013-08-15t01:17+00:00,17,senior-secondary-school,casual-worker,-3344.139627507602, 4816  7913  9071  4886 ,2,2020-01-07t03:27+00:00,rec-76551,howard,todd,somerville,f,02/05/2003, 9  charnwood  road  flt  2 , st  kilda ,3182.0,vic, 03  2440  1322 ,somerville.howard@aol.com
i139487847,11, 4798  89925  1  3 ,married,125,50,32,77,164,0,hypokalemia,2018-05-15t24:31+00:00,13,secondary-school,,7381.7254611274675,,0,2020-07-19t07:56+00:00,rec-22249,jerry,richard,gardner,m,17/10/2007, 1  hobart  place  amp  building , canberra  city ,2601.0,act, 02  1131  7855 ,
i139487847,11, 4798  89925  1  3 ,married,125,50,32,77,164,0,hypokalemia,2018-05-15t24:31+00:00,9,secondary-school,,0.0,,0,2016-01-15T22:09+00:00,rec-22249,jerry,richard,gardner,m,17/10/2007, 1  hobart  place  amp  building , canberra  city ,2601.0,act, 02  1131  7855 ,gardner2@yahoo.com
e191090774,6, 8555  25423  2  2 ,married,117,-99,19,79,162,0,cramping,2012-11-20t21:34+00:00,14,secondary-school,,6714.114362243852,,0,2020-06-08t24:31+00:00,rec-30865,johnny,frank,travers,m,07/08/2006, 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld, 07  9678  9166 ,travers29.gmail.com
f140557457,9, 2448  16160  2  3 ,married,141,25,12,77,120,0,insomnia,2018-06-14t24:22+00:00,11,primary-school,,0.0,,0,2020-02-21t14:18+00:00,rec-63177,carrie,c,woodley,f,16/03/2009, 234  willarong  road  villa  4 ,caringbah,2229.0,nsw, 02  0143  2134 ,carrie7@mail.com.au
g127162592,9, 5882  76531  1  3 ,married,125,-99,17,76,270,0,perforated-ear-drum-(l)-ear-with-development-of-blood-clot,2015-05-25t12:26+00:00,14,secondary-school,,0.0,,0,2020-06-15t06:24+00:00,rec-56563,dilara,esther,fox,m,06/10/2006, 425  toorak  road  flt  16 ,toorak,3073.0,vic, 03  8061  5274 ,fox15@gmail.com
b172499731,5, 2511  84212  1  2 ,married,107,-99,17,71,158,0,bronchitis,2020-07-14t09:40+00:00,5,pre-school,,0.0,,0,2020-06-24t15:48+00:00,rec-47827,randy,w,gibson,f,27/05/2015, 7  amiens  avenue  wisspering  pine , derwent  park ,7009.0,tas, 03  8147  5764 ,gibson80@hotmail.com
a144111874,10, 9348  52864  2  2 ,not-married,122,30,20,80,113,0,mild-anxiety,2013-01-08t15:03+00:00,17,senior-secondary-school,casual-worker,0.0, 6246  3909  7868  1492 ,2,2020-06-19t06:20+00:00,rec-53300,kathrine,price,williams,f,14/05/2003, 55  wetherby  road  flea , howard  springs ,835.0,nt, 08  6586  7696 ,kathrine.williams@hotmail.com
b144141271,24, 2103  80683  1  2 ,married,179,63,19,76,197,1,chronic-lower-back-pain,2018-04-19t21:14+00:00,24,senior-secondary-school,construction-labourer,15484.059627735083, 9589  0564  8472  2438 ,7,2018-03-26T06:17+00:00,rec-60087,mark,phillip,bowers,m,24/03/1994, 347  eastbourne  road  the  village  glen , rosebud  west ,4850.0,vic, 07  9375  0835 ,qcppfhqpif@yahoo.com
i167133681,11, 7777  87659  1  2 ,married,134,39,21,70,161,0,celiac's-disease,2016-07-05t21:55+00:00,15,secondary-school,,0.0,,0,2020-03-25t15:43+00:00,rec-78735,mark,donald,carr,f,31/07/2005, 26  dix  street  flt  4 ,margate,4019.0,qld, 07  1378  9720 ,mark.carr@mail.com
g143675463,59, 5244  96427  1  1 ,married,192,-99,38,87,163,0,emphysema,2017-04-26t23:17+00:00,60,masters-degree,legal-professional,94714.0, 1092  5097  2107  2002 ,43,2018-03-06T17:43+00:00,rec-70095,bradley,eugene,price,f,04/04/1958, 240  mitchell  road  lucivale , wagga  wagga ,,nsw, 07  9474  9732 ,bradley.price@gmail.com
a154233304,14, 5904  24674  2  3 ,married,167,-99,29,78,96,0,chest-pain,2019-04-06t10:31+00:00,15,secondary-school,,-9999.0,,0,2020-05-05t17:21+00:00,rec-52220,tanya,c,atkins,f,13/02/2005, 105  ridgeway  avenue  villas  on  the  park ,southport,4215.0,qld, 07  1224  9348 ,atkins6@gmail.com
e110454015,12, 8285  68254  1  3 ,not-married,132,47,26,75,90,0,l.-lower-lid-blepharoplasty,2014-03-10t01:46+00:00,18,senior-secondary-school,casual-worker,0.0, 1175  9175  5471  0410 ,1,2020-01-05t21:16+00:00,rec-92811,samuel,earley,shimpock,f,06/11/2002, 67  pakington  street  flt  10 , st  kilda ,3182.0,vic, 03  5371  0857 ,
h193644222,13, 6290  36592  2  2 ,married,144,45,21,81,123,0,infection---right-thigh,2018-04-19t11:34+00:00,15,secondary-school,,0.0,,0,2020-03-19t23:32+00:00,rec-87382,larry,dean,casterella,f,05/12/2005, 17  circassion  street  media  park  hostel , st  helens ,7216.0,tas, 03  3324  4351 ,casterella92@hotmail.com
b171765033,8, 1575  51269  1  3 ,married,138,36,18,74,152,0,musculoskeletal-pain-(hips,2016-07-22t15:36+00:00,12,secondary-school,,0.0,,0,2020-05-22t09:40+00:00,rec-2800,wendy,anderson,fisher,f,05/05/2008, 70  hansford  road  emerald  garden ,coombabah,4216.0,qld, 07  9081  2035 ,wendy15@hotmail.com
i139394740,8, 5079  68586  2  2 ,married,124,30,19,75,221,0,hiatal-hernia-with-reflux-first-evidenced-with-episodes-of-coughing.,2020-05-15t04:04+00:00,8,primary-school,,0.0,,0,2020-01-18t20:20+00:00,rec-5072,april,renee,yago,f,11/09/2012, 205  oxford  street  upstairs ,darlinghurst,2010.0,nsw, 02  1808  7974 ,april.yago@aol.com
f130868849,8, 6915  45891  1  3 ,married,121,30,20,71,138,0,abdominal-discomfort-due-to-gall-bladder-stones,2020-02-25t19:28+00:00,8,primary-school,,-9999.0,,0,2020-03-09t18:29+00:00,rec-12921,mickey,rebecca,hodges,f,21/07/2012, 250  baltimore  parade  raafa  estate ,merriwa,6030.0,wa, 08  5677  0070 ,hodges.mickey@yahoo.com
c183616148,10, 8160  54015  1  3 ,married,120,52,36,76,132,0,cold,2020-07-07t13:27+00:00,10,primary-school,,-1152.028929531598,,0,2020-03-07t17:54+00:00,rec-16013,alvin,jahmar,myers,m,26/07/2010, 98  burraway  road  warrigunya ,brocklehurst,2830.0,nsw, 02  4387  2636 ,myers43@mail.com.au
f106572667,12, 1185  25202  1  2 ,married,142,64,31,75,194,0,macular-degeneration,2018-03-26t11:50+00:00,14,secondary-school,,9990.269896071375,,0,2020-05-06t14:51+00:00,rec-57854,stephania,debardeleben,maloof,f,25/07/2006, 1  castledoyle  road  bentom ,armidale,2350.0,nsw, 02  8268  0675 ,stephania.maloof@hotmail.com
f106572667,12, 1185  25202  1  2 ,married,142,64,31,75,194,0,macular-degeneration,2018-03-26t11:50+00:00,13,secondary-school,,0.0,,0,2019-06-21T14:03+00:00,rec-57854,stephania,debardeleben,maloof,f,25/07/2006, 1  castledoyle  road  bentom ,armidale,2350.0,nsw, 03  6706  0638 ,stephania.maloof@hotmail.com
g146978646,9, 2028  21832  1  3 ,married,130,41,24,83,128,0,tmj-clicking-and-some-pain,2020-01-05t01:47+00:00,9,primary-school,,-1030.783184619011,,0,2020-04-27t21:26+00:00,rec-32457,emogene,renick,dyer,f,09/10/2011, 386  honour  avenue  rivergum  caravan  park ,corowa,2646.0,nsw, 02  0552  9806 ,dyer49@gmail.com
d114431596,8, 6349  27732  2  2 ,married,149,46,20,74,210,0,chronic-kidney-failure,2018-08-16t19:26+00:00,13,secondary-school,,0.0,,0,2020-03-23t09:42+00:00,rec-8308,deirdre,victoria,aguilar,f,26/10/2007, 35  willandra  street  lake  view , lake  cargelligo ,2672.0,nsw, 02  4318  7761 ,aguilar14.aol.com
i103401630,12, 1448  40454  1  2 ,not-married,157,62,25,73,122,1,increased-fatigue,2016-04-03t05:01+00:00,16,senior-secondary-school,casual-worker,-9999.0, 3564  7101  0938  9721 ,3,2020-05-11t09:32+00:00,rec-8063,timothy,henry,alston,f,04/07/2004, 6  george  crescent  robertson  barracks , fannie  bay ,820.0,nt, 08  6377  3438 ,timothy53@mail.com
i103401630,12, 1448  40454  1  2 ,not-married,157,62,25,73,122,1,increased-fatigue,2016-04-03t05:01+00:00,16,senior-secondary-school,casual-worker,0.0, 3564  7101  0938  9721 ,3,2020-05-11t09:32+00:00,rec-8063,timothy,henry,alston,f,04/07/2004, 6  george  crescent  robertson  barracks , fannie  bay ,820.0,nt, 08  6377  3438 ,timothy53@mail.com
h158613333,8, 3299  60818  1  3 ,married,116,24,17,78,172,0,bicep-tendon-tear,2020-07-12t01:04+00:00,8,primary-school,,0.0,,0,2020-02-13t21:48+00:00,rec-76431,gerard,jumi,haakenson,f,27/07/2012, 1  spring  range  road  tarra  lakeview ,hall,2618.0,act, 02  2471  8282 ,haakenson48@gmail.com
f195316963,15, 3838  76995  1  3 ,not-married,177,94,30,71,206,1,sweating,2018-12-27t09:14+00:00,17,senior-secondary-school,casual-worker,0.0, 1577  6237  5225  2652 ,2,2020-02-23t22:25+00:00,rec-12326,sandra,watkins,greene,m,24/12/2003, 201  bullcreek  drive  air  force  memorial  est , bull  creek ,6149.0,wa, 08  3644  3813 ,greene.sandra@aol.com
a144167728,8, 6922  32101  2  2 ,married,134,37,20,76,130,0,dizziness,2020-07-05t14:57+00:00,8,primary-school,,0.0,,0,2020-03-20t16:24+00:00,rec-56997,maria,putnam,billups,m,20/02/2012, 21  station  street  flt  1 , wentworth  falls ,2782.0,nsw, 02  8956  6990 ,maria100@mail.com
a140506811,11, 9598  33960  1  2 ,married,126,-99,23,70,107,0,fall,2019-01-18t16:17+00:00,12,secondary-school,,-9999.0,,0,2020-07-08t20:46+00:00,rec-33986,trevor,terell,mont,m,02/05/2008, 1  barrett  drive  floreat  village , alice  springs ,870.0,nt, 08  6377  4552 ,mqrgrdkoec@gmail.com
